identifier;events;flood_start;flood_end;duration;peak_streamflow
ML0508;3;2022-10-17;2022-10-18;2;2805.1572265625
ML0601;0;2020-09-21;2020-10-24;34;2412.72314453125
ML0601;1;2020-11-10;2020-11-30;21;2280.067138671875
ML0602;0;2020-09-20;2020-10-29;40;2492.651123046875
ML0603;0;2020-11-15;2020-12-02;18;2169.410888671875
ML0604;0;2019-10-07;2019-10-08;2;2240.288330078125
ML0604;1;2020-09-20;2020-10-27;38;2548.3876953125
ML0605;0;2020-11-10;2020-12-01;22;2125.28515625
ML0701;0;2016-01-04;2016-01-06;3;1560.9466552734375
ML0701;1;2018-12-23;2018-12-30;8;1573.6513671875
ML0701;2;2019-12-06;2020-01-04;30;1618.1341552734375
ML0701;3;2020-12-04;2020-12-26;23;1584.899169921875
ML0702;0;2019-11-22;2019-11-23;2;2006.7427978515625
ML0702;1;2020-10-26;2020-11-29;35;2084.1826171875
ML0703;0;2020-10-28;2020-12-20;54;1876.7535400390625
ML0901;0;2018-09-08;2018-09-22;15;4775.41845703125
ML0901;1;2019-09-09;2019-10-02;24;4650.02978515625
ML0901;2;2020-09-13;2020-09-27;15;4840.6591796875
ML0901;3;2021-09-20;2021-09-26;7;4415.10595703125
ML0901;4;2022-09-23;2022-10-04;12;4421.24462890625
