admin_unit;events;flood_start;flood_end;duration
ML0105;5;2007-08-27;2007-08-27;1
ML0105;6;2007-08-27;2007-08-27;1
ML0105;7;2007-08-27;2007-08-27;1
ML0105;8;2007-08-27;2007-08-27;1
ML0105;9;2009-05-09;2009-05-09;1
ML0105;10;2009-05-16;2009-05-16;1
ML0105;11;2009-05-23;2009-05-23;1
ML0105;12;2009-06-08;2009-06-08;1
ML0105;13;2009-06-11;2009-06-11;1
ML0105;14;2009-06-11;2009-06-11;1
ML0105;15;2009-08-07;2009-08-07;1
ML0105;16;2009-09-04;2009-09-04;1
ML0105;17;2009-09-05;2009-09-05;1
ML0105;18;2009-09-05;2009-09-05;1
ML0105;19;2010-09-12;2010-09-12;1
ML0105;20;2010-09-12;2010-09-12;1
ML0105;21;2012-08-01;2012-08-01;1
ML0105;22;2012-08-24;2012-08-24;1
ML0105;23;2013-08-13;2013-08-13;1
ML0105;24;2014-06-02;2014-06-02;1
ML0105;25;2019-08-07;2019-08-07;1
ML0106;0;2004-08-15;2004-08-15;1
ML0106;1;2009-08-15;2009-08-15;1
ML0106;2;2009-08-25;2009-08-25;1
ML0106;3;2009-08-27;2009-08-27;1
ML0106;4;2009-08-27;2009-08-27;1
ML0106;5;2010-09-12;2010-09-12;1
ML0106;6;2012-08-03;2012-08-03;1
ML0106;7;2012-08-30;2012-08-30;1
ML0106;8;2017-06-18;2017-06-19;2
ML0107;0;2004-08-15;2004-08-15;1
ML0107;1;2004-08-15;2004-08-15;1
ML0107;2;2004-08-15;2004-08-15;1
ML0107;3;2007-08-15;2007-08-15;1
ML0107;4;2010-09-12;2010-09-12;1
ML0107;5;2010-09-12;2010-09-12;1
ML0107;6;2012-07-13;2012-07-13;1
ML0107;7;2012-08-24;2012-08-24;1
ML0107;8;2012-08-25;2012-08-25;1
ML0107;9;2012-08-28;2012-08-28;1
ML0107;10;2013-08-13;2013-08-13;1
ML0107;11;2017-06-22;2017-06-23;2
ML0107;12;2017-06-22;2017-06-22;1
ML0107;13;2017-08-21;2017-08-22;2
ML0107;14;2017-08-21;2017-08-22;2
ML0107;15;2017-08-21;2017-08-21;1
ML0201;0;2007-08-06;2007-08-06;1
ML0201;1;2007-08-31;2007-08-31;1
ML0201;2;2007-08-31;2007-08-31;1
ML0201;3;2009-09-02;2009-09-02;1
ML0201;4;2009-09-02;2009-09-02;1
ML0201;5;2010-07-01;2010-07-01;1
ML0201;6;2010-07-02;2010-07-02;1
ML0201;7;2010-08-24;2010-08-24;1
ML0201;8;2012-05-14;2012-05-14;1
ML0201;9;2012-05-14;2012-05-14;1
ML0201;10;2014-06-22;2014-06-22;1
ML0202;0;1994-08-05;1994-08-05;1
ML0202;1;2007-08-31;2007-08-31;1
ML0202;2;2007-08-31;2007-08-31;1
ML0202;3;2010-05-07;2010-05-07;1
ML0202;4;2010-07-09;2010-07-09;1
ML0202;5;2010-07-19;2010-07-19;1
ML0202;6;2010-07-19;2010-07-19;1
ML0202;7;2010-07-23;2010-07-23;1
ML0202;8;2011-08-22;2011-08-22;1
ML0202;9;2011-08-22;2011-08-22;1
ML0202;10;2017-05-14;2017-05-15;2
ML0202;11;2017-05-14;2017-05-14;1
ML0202;12;2017-08-14;2017-08-15;2
ML0202;13;2022-06-17;2022-06-18;2
ML0202;14;2022-06-29;2022-06-30;2
ML0202;15;2022-07-17;2022-07-18;2
ML0202;16;2022-09-01;2022-09-02;2
ML0202;17;2022-09-01;2022-09-02;2
ML0203;0;1997-07-31;1997-07-31;1
ML0203;1;1999-08-18;1999-08-18;1
ML0203;2;1999-08-19;1999-08-19;1
ML0203;3;2007-08-31;2007-08-31;1
ML0203;4;2009-09-02;2009-09-02;1
ML0203;5;2010-09-04;2010-09-04;1
ML0203;6;2011-08-10;2011-08-10;1
ML0203;7;2011-08-10;2011-08-10;1
ML0203;8;2011-08-19;2011-08-19;1
ML0203;9;2011-08-21;2011-08-21;1
ML0203;10;2019-08-07;2019-08-07;1
ML0204;0;1995-05-25;1995-05-25;1
ML0204;1;1999-08-05;1999-08-05;1
ML0204;2;1999-08-17;1999-08-17;1
ML0204;3;1999-08-20;1999-08-20;1
ML0204;4;2005-08-18;2005-08-18;1
ML0204;5;2007-08-24;2007-08-24;1
ML0204;6;2009-09-18;2009-09-18;1
ML0204;7;2010-07-27;2010-07-27;1
ML0204;8;2010-08-01;2010-08-01;1
ML0204;9;2010-09-01;2010-09-01;1
ML0204;10;2010-09-03;2010-09-03;1
ML0204;11;2010-09-18;2010-09-18;1
ML0204;12;2011-08-10;2011-08-10;1
ML0204;13;2011-08-19;2011-08-19;1
ML0204;14;2013-08-28;2013-08-28;1
ML0204;15;2013-09-03;2013-09-03;1
ML0204;16;2022-06-17;2022-06-18;2
ML0204;17;2022-08-12;2022-08-13;2
ML0204;18;2022-08-12;2022-08-13;2
ML0204;19;2022-08-12;2022-08-13;2
ML0205;0;2009-09-02;2009-09-02;1
ML0205;1;2010-05-07;2010-05-07;1
ML0205;2;2010-05-07;2010-05-07;1
ML0205;3;2010-05-08;2010-05-08;1
ML0205;4;2010-09-01;2010-09-01;1
ML0205;5;2019-08-07;2019-08-07;1
ML0206;0;1906-08-17;1906-08-17;1
ML0206;1;1994-09-21;1994-09-21;1
ML0206;2;1996-08-11;1996-08-11;1
ML0206;3;1999-08-02;1999-08-02;1
ML0206;4;2009-08-12;2009-08-12;1
ML0206;5;2009-09-02;2009-09-02;1
ML0206;6;2009-09-02;2009-09-02;1
ML0206;7;2009-09-02;2009-09-02;1
ML0206;8;2009-09-02;2009-09-02;1
ML0206;9;2009-09-18;2009-09-18;1
ML0206;10;2010-05-17;2010-05-17;1
ML0206;11;2010-09-06;2010-09-06;1
ML0206;12;2010-09-11;2010-09-11;1
ML0206;13;2012-09-03;2012-09-03;1
ML0206;14;2016-07-27;2016-07-27;1
ML0206;15;2016-08-01;2016-08-01;1
ML0206;16;2016-08-02;2016-08-02;1
ML0206;17;2016-08-04;2016-08-04;1
ML0206;18;2019-08-07;2019-08-07;1
ML0207;0;2003-08-01;2003-08-01;1
ML0207;1;2004-06-12;2004-06-12;1
ML0207;2;2010-08-30;2010-08-30;1
ML0207;3;2010-09-09;2010-09-09;1
ML0207;4;2010-09-09;2010-09-09;1
ML0207;5;2012-07-12;2012-07-12;1
ML0207;6;2017-03-09;2017-03-10;2
ML0207;7;2017-07-07;2017-07-08;2
ML0207;8;2017-07-08;2017-07-08;1
ML0207;9;2018-09-18;2018-09-18;1
ML0207;10;2022-06-20;2022-06-21;2
ML0207;11;2022-06-29;2022-06-30;2
ML0207;12;2022-08-27;2022-08-28;2
ML0207;13;2022-08-27;2022-08-28;2
ML0207;14;2022-08-28;2022-08-29;2
ML0301;0;1999-08-06;1999-08-06;1
ML0301;1;1999-08-11;1999-08-11;1
ML0301;2;2007-09-08;2007-09-08;1
ML0301;3;2010-09-09;2010-09-09;1
ML0301;4;2010-09-09;2010-09-09;1
ML0301;5;2012-07-23;2012-07-23;1
ML0301;6;2012-09-14;2012-09-14;1
ML0301;7;2017-07-24;2017-07-25;2
ML0301;8;2022-08-04;2022-08-05;2
ML0302;0;2007-09-06;2007-09-06;1
ML0302;1;2008-06-17;2008-06-17;1
ML0302;2;2019-08-07;2019-08-07;1
ML0302;3;2022-08-04;2022-08-05;2
ML0303;0;1999-08-20;1999-08-20;1
ML0303;1;2012-07-06;2012-07-06;1
ML0303;2;2012-08-23;2012-09-06;15
ML0303;3;2012-08-24;2012-08-24;1
ML0304;0;1999-08-04;1999-08-05;2
ML0304;1;1999-08-04;1999-08-05;2
ML0304;2;1999-08-04;1999-08-05;2
ML0304;3;1999-08-15;1999-08-15;1
ML0304;4;2006-08-09;2006-08-09;1
ML0304;5;2009-08-21;2009-08-21;1
ML0304;6;2010-08-01;2010-08-01;1
ML0304;7;2010-08-11;2010-08-11;1
ML0304;8;2010-08-13;2010-08-13;1
ML0304;9;2010-09-01;2010-09-01;1
ML0304;10;2010-09-03;2010-09-03;1
ML0304;11;2010-09-03;2010-09-03;1
ML0304;12;2012-08-14;2012-08-14;1
ML0304;13;2012-08-20;2012-08-20;1
ML0304;14;2012-08-21;2012-08-21;1
ML0304;15;2012-08-24;2012-08-24;1
ML0304;16;2012-09-01;2012-09-01;1
ML0304;17;2012-09-05;2012-09-05;1
ML0304;18;2012-09-08;2012-09-08;1
ML0304;19;2012-10-06;2012-10-06;1
ML0304;20;2014-07-03;2014-07-03;1
ML0304;21;2014-08-04;2014-08-04;1
ML0304;22;2019-08-07;2019-08-07;1
ML0305;0;1954-08-20;1954-08-20;1
ML0305;1;1996-06-13;1996-06-13;1
ML0305;2;2007-08-22;2007-08-22;1
ML0305;3;2007-09-05;2007-09-05;1
ML0305;4;2009-06-18;2009-06-18;1
ML0305;5;2009-08-24;2009-08-24;1
ML0305;6;2010-04-19;2010-04-19;1
ML0305;7;2010-09-05;2010-09-05;1
ML0305;8;2010-10-10;2010-10-10;1
ML0305;9;2012-07-06;2012-07-06;1
ML0305;10;2012-07-19;2012-07-19;1
ML0305;11;2012-08-22;2012-08-22;1
ML0305;12;2012-08-22;2012-08-22;1
ML0305;13;2012-08-23;2012-08-23;1
ML0305;14;2016-07-28;2016-07-28;1
ML0305;15;2016-08-01;2016-08-01;1
ML0305;16;2016-08-02;2016-08-02;1
ML0305;17;2017-07-24;2017-07-25;2
ML0305;18;2017-11-02;2017-11-03;2
ML0305;19;2017-11-30;2017-11-30;1
ML0305;20;2018-10-05;2018-10-05;1
ML0305;21;2018-10-12;2018-10-12;1
ML0305;22;2019-08-07;2019-08-07;1
ML0305;23;2019-08-07;2019-08-07;1
ML0306;0;1999-08-18;1999-08-18;1
ML0306;1;1999-09-18;1999-09-18;1
ML0306;2;2007-08-09;2007-08-09;1
ML0306;3;2009-08-24;2009-08-24;1
ML0306;4;2010-06-24;2010-06-24;1
ML0306;5;2012-08-07;2012-08-07;1
ML0306;6;2012-08-24;2012-08-24;1
ML0306;7;2013-08-14;2013-08-14;1
ML0307;0;2006-08-31;2006-08-31;1
ML0307;1;2007-07-01;2007-07-01;1
ML0307;2;2007-07-09;2007-07-09;1
ML0307;3;2007-07-22;2007-07-22;1
ML0307;4;2007-08-24;2007-08-24;1
ML0307;5;2012-08-14;2012-08-14;1
ML0307;6;2012-08-15;2012-08-15;1
ML0307;7;2012-08-30;2012-08-30;1
ML0307;8;2012-09-01;2012-09-01;1
ML0307;9;2014-11-16;2014-11-16;1
ML0307;10;2019-08-07;2019-08-07;1
ML0307;11;2019-08-07;2019-08-07;1
ML0401;0;1995-08-10;1995-08-10;1
ML0401;1;1999-08-10;1999-08-10;1
ML0401;2;1999-08-10;1999-08-10;1
ML0401;3;1999-08-11;1999-08-11;1
ML0401;4;1999-08-11;1999-08-11;1
ML0401;5;1999-08-14;1999-08-14;1
ML0401;6;2007-08-28;2007-08-28;1
ML0401;7;2010-07-08;2010-07-08;1
ML0401;8;2010-07-23;2010-07-23;1
ML0401;9;2010-07-23;2010-07-23;1
ML0401;10;2010-08-13;2010-08-13;1
ML0401;11;2010-08-14;2010-08-14;1
ML0401;12;2010-08-15;2010-08-15;1
ML0401;13;2010-08-21;2010-08-21;1
ML0401;14;2010-08-23;2010-08-23;1
ML0401;15;2010-09-01;2010-09-01;1
ML0401;16;2010-09-01;2010-09-01;1
ML0401;17;2010-09-15;2010-09-15;1
ML0401;18;2012-08-14;2012-08-14;1
ML0401;19;2012-08-14;2012-08-14;1
ML0401;20;2012-08-24;2012-08-24;1
ML0401;21;2012-09-03;2012-09-03;1
ML0401;22;2022-09-15;2022-09-16;2
ML0402;0;1999-07-12;1999-07-12;1
ML0402;1;2006-08-11;2006-08-11;1
ML0402;2;2007-07-22;2007-07-23;2
ML0402;3;2008-07-19;2008-07-19;1
ML0402;4;2008-08-19;2008-08-19;1
ML0402;5;2009-07-25;2009-07-25;1
ML0402;6;2009-09-07;2009-09-07;1
ML0402;7;2009-09-07;2009-09-07;1
ML0402;8;2009-09-07;2009-09-07;1
ML0402;9;2009-09-07;2009-09-07;1
ML0402;10;2009-09-07;2009-09-07;1
ML0402;11;2010-08-08;2010-08-08;1
ML0402;12;2010-09-15;2010-09-15;1
ML0402;13;2010-09-16;2010-09-16;1
ML0402;14;2010-09-17;2010-09-17;1
ML0402;15;2010-09-17;2010-09-17;1
ML0402;16;2010-09-20;2010-09-20;1
ML0402;17;2010-09-20;2010-09-20;1
ML0402;18;2010-09-24;2010-09-24;1
ML0402;19;2012-08-19;2012-08-19;1
ML0402;20;2012-08-19;2012-08-19;1
ML0402;21;2012-08-19;2012-08-19;1
ML0402;22;2012-08-19;2012-08-19;1
ML0402;23;2012-08-19;2012-08-19;1
ML0402;24;2012-08-19;2012-08-19;1
ML0402;25;2016-07-20;2016-07-20;1
ML0402;26;2017-08-11;2017-08-11;1
ML0402;27;2017-08-24;2017-08-24;1
ML0402;28;2017-08-24;2017-08-24;1
ML0402;29;2017-11-08;2017-11-09;2
ML0402;30;2017-11-08;2017-11-09;2
ML0402;31;2022-09-15;2022-09-16;2
ML0403;0;2006-08-23;2006-08-23;1
ML0403;1;2006-08-23;2006-08-23;1
ML0403;2;2008-07-19;2008-07-19;1
ML0403;3;2009-09-03;2009-09-03;1
ML0403;4;2009-09-13;2009-09-13;1
ML0403;5;2009-09-18;2009-09-18;1
ML0403;6;2010-06-25;2010-06-25;1
ML0403;7;2010-08-08;2010-08-08;1
ML0403;8;2010-09-11;2010-09-11;1
ML0403;9;2010-09-11;2010-09-11;1
ML0403;10;2010-09-14;2010-09-14;1
ML0403;11;2010-09-28;2010-09-28;1
ML0403;12;2015-07-31;2015-07-31;1
ML0404;0;1999-08-15;1999-08-15;1
ML0404;1;2006-08-11;2006-08-11;1
ML0404;2;2007-07-14;2007-07-14;1
ML0404;3;2007-08-05;2007-08-05;1
ML0404;4;2009-08-30;2009-08-30;1
ML0404;5;2009-08-30;2009-08-30;1
ML0404;6;2009-08-31;2009-08-31;1
ML0404;7;2009-09-07;2009-09-07;1
ML0404;8;2009-09-13;2009-09-13;1
ML0404;9;2010-08-01;2010-08-01;1
ML0404;10;2010-08-29;2010-08-29;1
ML0404;11;2010-08-29;2010-08-29;1
ML0404;12;2010-09-13;2010-09-13;1
ML0404;13;2010-09-13;2010-09-13;1
ML0404;14;2010-09-13;2010-09-13;1
ML0404;15;2010-09-13;2010-09-13;1
ML0404;16;2010-09-13;2010-09-13;1
ML0404;17;2010-09-24;2010-09-24;1
ML0404;18;2012-09-03;2012-09-03;1
ML0404;19;2012-09-03;2012-09-03;1
ML0404;20;2012-09-03;2012-09-03;1
ML0404;21;2012-09-03;2012-09-03;1
ML0404;22;2013-08-09;2013-08-10;2
ML0404;23;2013-08-09;2013-08-10;2
ML0404;24;2013-08-11;2013-08-11;1
ML0404;25;2013-09-03;2013-09-03;1
ML0404;26;2013-09-04;2013-09-04;1
ML0404;27;2017-08-08;2017-08-09;2
ML0405;0;2006-08-08;2006-08-08;1
ML0405;1;2007-07-08;2007-07-08;1
ML0405;2;2007-07-08;2007-07-08;1
ML0405;3;2009-09-01;2009-09-01;1
ML0405;4;2010-06-10;2010-06-10;1
ML0405;5;2010-09-06;2010-09-06;1
ML0405;6;2010-09-06;2010-09-06;1
ML0405;7;2010-09-06;2010-09-06;1
ML0405;8;2010-09-14;2010-09-14;1
ML0405;9;2012-08-27;2012-08-27;1
ML0405;10;2012-08-27;2012-08-27;1
ML0405;11;2012-08-27;2012-08-27;1
ML0405;12;2012-08-27;2012-08-27;1
ML0405;13;2012-09-08;2012-09-08;1
ML0405;14;2013-08-07;2013-08-07;1
ML0405;15;2013-09-07;2013-09-07;1
ML0405;16;2017-05-27;2017-05-28;2
ML0405;17;2022-09-04;2022-09-05;2
ML0405;18;2022-09-10;2022-09-11;2
ML0406;0;2004-08-15;2004-08-15;1
ML0406;1;2007-07-26;2007-07-26;1
ML0406;2;2007-07-26;2007-07-26;1
ML0406;3;2008-08-02;2008-08-02;1
ML0406;4;2009-07-29;2009-07-29;1
ML0406;5;2009-08-15;2009-08-15;1
ML0406;6;2009-09-07;2009-09-07;1
ML0406;7;2009-09-07;2009-09-07;1
ML0406;8;2009-09-08;2009-09-08;1
ML0406;9;2009-09-08;2009-09-08;1
ML0406;10;2009-09-08;2009-09-08;1
ML0406;11;2010-06-27;2010-06-27;1
ML0406;12;2010-06-27;2010-06-27;1
ML0406;13;2010-07-11;2010-07-11;1
ML0406;14;2010-07-11;2010-07-11;1
ML0406;15;2010-07-11;2010-07-11;1
ML0406;16;2010-07-11;2010-07-11;1
ML0406;17;2010-07-23;2010-07-23;1
ML0406;18;2010-08-11;2010-08-11;1
ML0406;19;2010-08-18;2010-08-18;1
ML0406;20;2010-09-09;2010-09-09;1
ML0406;21;2012-08-03;2012-08-03;1
ML0406;22;2012-08-07;2012-08-07;1
ML0406;23;2012-08-07;2012-08-07;1
ML0406;24;2012-08-19;2012-08-19;1
ML0406;25;2012-08-24;2012-08-24;1
ML0406;26;2012-08-24;2012-08-24;1
ML0406;27;2012-08-24;2012-08-24;1
ML0406;28;2013-08-21;2013-08-21;1
ML0406;29;2014-06-10;2014-06-10;1
ML0406;30;2016-08-01;2016-08-01;1
ML0406;31;2017-01-09;2017-01-10;2
ML0406;32;2017-08-09;2017-08-09;1
ML0406;33;2017-08-09;2017-08-10;2
ML0406;34;2017-08-11;2017-08-12;2
ML0406;35;2017-08-12;2017-08-12;1
ML0406;36;2017-08-15;2017-08-15;1
ML0406;37;2017-08-21;2017-08-22;2
ML0406;38;2017-08-24;2017-08-24;1
ML0406;39;2017-11-30;2017-11-30;1
ML0406;40;2022-07-20;2022-07-21;2
ML0406;41;2022-07-29;2022-07-30;2
ML0406;42;2022-08-18;2022-08-19;2
ML0406;43;2022-08-28;2022-08-29;2
ML0406;44;2022-09-02;2022-09-03;2
ML0407;0;1996-07-26;1996-07-26;1
ML0407;1;1999-08-14;1999-08-14;1
ML0407;2;1999-08-14;1999-08-14;1
ML0407;3;1999-08-14;1999-08-14;1
ML0407;4;2003-08-10;2003-08-10;1
ML0407;5;2009-09-01;2009-09-01;1
ML0407;6;2009-09-12;2009-09-12;1
ML0407;7;2009-09-13;2009-09-13;1
ML0407;8;2009-09-20;2009-09-20;1
ML0407;9;2010-09-08;2010-09-08;1
ML0407;10;2010-09-15;2010-09-15;1
ML0407;11;2010-09-20;2010-09-20;1
ML0407;12;2012-08-07;2012-08-07;1
ML0407;13;2012-08-07;2012-08-07;1
ML0407;14;2012-08-07;2012-08-07;1
ML0407;15;2012-08-07;2012-08-07;1
ML0407;16;2012-08-07;2012-08-07;1
ML0407;17;2012-08-07;2012-08-07;1
ML0407;18;2012-08-07;2012-08-07;1
ML0407;19;2017-08-27;2017-08-28;2
ML0501;0;2007-07-04;2007-07-18;15
ML0501;1;2007-07-04;2007-07-04;1
ML0501;2;2007-07-04;2007-07-04;1
ML0501;3;2007-07-04;2007-07-04;1
ML0501;4;2010-08-12;2010-08-12;1
ML0501;5;2013-08-26;2013-08-26;1
ML0501;6;2013-09-26;2013-09-26;1
ML0501;7;2022-08-24;2022-08-25;2
ML0501;8;2022-09-06;2022-09-07;2
ML0501;9;2022-09-06;2022-09-07;2
ML0501;10;2022-09-23;2022-09-24;2
ML0502;0;2010-08-01;2010-08-01;1
ML0502;1;2010-08-13;2010-08-13;1
ML0503;0;2003-08-17;2003-08-17;1
ML0503;1;2006-08-23;2006-08-23;1
ML0503;2;2006-08-24;2006-08-24;1
ML0503;3;2009-07-27;2009-07-27;1
ML0503;4;2009-10-31;2009-10-31;1
ML0503;5;2012-08-08;2012-08-08;1
ML0503;6;2012-08-08;2012-08-08;1
ML0503;7;2022-09-05;2022-09-06;2
ML0503;8;2022-09-05;2022-09-06;2
ML0503;9;2022-09-05;2022-09-06;2
ML0503;10;2022-09-23;2022-09-24;2
ML0504;0;1994-09-08;1994-09-08;1
ML0504;1;1999-08-20;1999-08-20;1
ML0504;2;2004-08-15;2004-08-15;1
ML0504;3;2006-08-09;2006-08-09;1
ML0504;4;2007-07-07;2007-07-07;1
ML0504;5;2009-08-06;2009-08-06;1
ML0504;6;2009-09-01;2009-09-01;1
ML0504;7;2010-06-09;2010-06-09;1
ML0504;8;2010-07-22;2010-07-22;1
ML0504;9;2010-11-17;2010-11-17;1
ML0504;10;2011-07-26;2011-07-26;1
ML0504;11;2012-08-30;2012-08-30;1
ML0504;12;2013-09-14;2013-09-14;1
ML0504;13;2016-07-18;2016-07-18;1
ML0504;14;2017-06-20;2017-06-21;2
ML0504;15;2022-08-31;2022-09-01;2
ML0505;0;2010-08-13;2010-08-13;1
ML0505;1;2010-09-03;2010-09-03;1
ML0505;2;2012-08-19;2012-08-19;1
ML0505;3;2012-08-23;2012-08-23;1
ML0505;4;2017-07-20;2017-07-21;2
ML0505;5;2022-09-06;2022-09-07;2
ML0505;6;2022-09-06;2022-09-07;2
ML0505;7;2022-09-17;2022-09-18;2
ML0505;8;2022-09-17;2022-09-18;2
ML0506;0;1997-08-27;1997-08-27;1
ML0506;1;1999-08-17;1999-08-17;1
ML0506;2;2001-07-16;2001-07-16;1
ML0506;3;2001-07-27;2001-07-27;1
ML0506;4;2003-09-09;2003-09-09;1
ML0506;5;2007-07-04;2007-07-04;1
ML0506;6;2008-06-25;2008-06-25;1
ML0506;7;2009-09-01;2009-09-01;1
ML0506;8;2010-06-09;2010-06-09;1
ML0506;9;2010-09-09;2010-09-09;1
ML0506;10;2010-09-18;2010-09-18;1
ML0506;11;2010-09-20;2010-09-20;1
ML0506;12;2012-08-22;2012-08-22;1
ML0506;13;2012-08-27;2012-08-27;1
ML0506;14;2014-07-22;2014-07-22;1
ML0506;15;2016-08-01;2016-08-01;1
ML0506;16;2016-08-10;2016-08-10;1
ML0506;17;2016-11-12;2016-11-12;1
ML0506;18;2017-09-08;2017-09-08;1
ML0506;19;2017-09-08;2017-09-09;2
ML0506;20;2017-09-08;2017-09-09;2
ML0506;21;2022-06-06;2022-06-07;2
ML0506;22;2022-06-27;2022-06-28;2
ML0507;0;1999-08-17;1999-08-17;1
ML0507;1;2010-06-01;2010-06-01;1
ML0601;0;1999-08-21;1999-08-21;1
ML0601;1;2008-07-25;2008-07-25;1
ML0601;2;2018-08-18;2018-08-18;1
ML0601;3;2019-08-07;2019-08-07;1
ML0602;0;1999-08-21;1999-08-21;1
ML0602;1;1999-08-21;1999-08-21;1
ML0602;2;1999-08-21;1999-08-21;1
ML0602;3;1999-08-21;1999-08-21;1
ML0602;4;2002-08-28;2002-08-28;1
ML0602;5;2004-06-01;2004-06-01;1
ML0602;6;2010-08-31;2010-08-31;1
ML0602;7;2011-03-21;2011-03-21;1
ML0602;8;2011-03-28;2011-03-28;1
ML0602;9;2011-07-15;2011-07-15;1
ML0602;10;2022-08-12;2022-08-13;2
ML0603;0;1999-08-21;1999-08-21;1
ML0603;1;1999-08-22;1999-08-22;1
ML0603;2;2001-06-01;2001-06-01;1
ML0603;3;2009-08-26;2009-08-26;1
ML0603;4;2010-07-02;2010-07-02;1
ML0603;5;2010-07-22;2010-07-22;1
ML0603;6;2011-08-20;2011-08-20;1
ML0603;7;2022-08-12;2022-08-13;2
ML0603;8;2022-08-12;2022-08-13;2
ML0603;9;2022-08-12;2022-08-13;2
ML0603;10;2022-09-06;2022-09-07;2
ML0603;11;2022-09-06;2022-09-07;2
ML0603;12;2022-09-06;2022-09-07;2
ML0604;0;1999-08-21;1999-08-21;1
ML0604;1;1999-08-21;1999-08-21;1
ML0604;2;1999-08-21;1999-08-21;1
ML0604;3;2009-08-25;2009-08-25;1
ML0604;4;2010-09-18;2010-09-18;1
ML0604;5;2017-06-17;2017-06-18;2
ML0604;6;2019-08-07;2019-08-07;1
ML0604;7;2022-07-10;2022-07-11;2
ML0605;0;1954-08-20;1954-08-20;1
ML0605;1;1999-08-22;1999-08-22;1
ML0605;2;1999-08-23;1999-08-23;1
ML0605;3;1999-09-22;1999-09-22;1
ML0605;4;2003-08-24;2003-08-24;1
ML0605;5;2006-08-27;2006-08-27;1
ML0605;6;2007-04-20;2007-04-20;1
ML0605;7;2009-08-25;2009-08-25;1
ML0605;8;2009-10-25;2009-10-25;1
ML0605;9;2010-07-11;2010-07-11;1
ML0605;10;2010-07-12;2010-07-12;1
ML0605;11;2010-07-21;2010-07-21;1
ML0605;12;2010-08-01;2010-08-01;1
ML0605;13;2010-08-06;2010-08-06;1
ML0605;14;2010-08-11;2010-08-12;2
ML0605;15;2010-09-01;2010-09-01;1
ML0605;16;2016-08-01;2016-08-01;1
ML0605;17;2019-08-07;2019-08-07;1
ML0605;18;2022-07-10;2022-07-11;2
