event_ID;admin_unit_NAME;admin_unit;flood_start;flood_end;duration
ML0504_14;DOUENTZA;ML0504;2017-06-20;2017-06-21;2
ML0504_15;DOUENTZA;ML0504;2022-08-31;2022-09-01;2
ML0505_4;KORO;ML0505;2017-07-20;2017-07-21;2
ML0505_5;KORO;ML0505;2022-09-06;2022-09-07;2
ML0505_7;KORO;ML0505;2022-09-17;2022-09-18;2
ML0506_15;MOPTI;ML0506;2016-08-01;2016-08-01;1
ML0506_16;MOPTI;ML0506;2016-08-10;2016-08-10;1
ML0506_17;MOPTI;ML0506;2016-11-12;2016-11-12;1
ML0506_18;MOPTI;ML0506;2017-09-08;2017-09-08;1
ML0506_21;MOPTI;ML0506;2022-06-06;2022-06-07;2
ML0506_22;MOPTI;ML0506;2022-06-27;2022-06-28;2
ML0601_2;DIRE;ML0601;2018-08-18;2018-08-18;1
ML0601_3;DIRE;ML0601;2019-08-07;2019-08-07;1
ML0602_10;GOUNDAM;ML0602;2022-08-12;2022-08-13;2
ML0603_7;GOURMA-RHAROUS;ML0603;2022-08-12;2022-08-13;2
ML0603_10;GOURMA-RHAROUS;ML0603;2022-09-06;2022-09-07;2
ML0604_5;NIAFUNKE;ML0604;2017-06-17;2017-06-18;2
ML0604_6;NIAFUNKE;ML0604;2019-08-07;2019-08-07;1
ML0604_7;NIAFUNKE;ML0604;2022-07-10;2022-07-11;2
ML0605_16;TOMBOUCTOU;ML0605;2016-08-01;2016-08-01;1
ML0605_17;TOMBOUCTOU;ML0605;2019-08-07;2019-08-07;1
ML0605_18;TOMBOUCTOU;ML0605;2022-07-10;2022-07-11;2
ML0605_20;TOMBOUCTOU;ML0605;2022-08-12;2022-08-13;2
ML0701_6;ANSONGO;ML0701;2019-08-07;2019-08-07;1
ML0702_2;BOUREM;ML0702;2019-08-07;2019-08-07;1
ML0702_3;BOUREM;ML0702;2022-08-09;2022-08-10;2
ML0702_4;BOUREM;ML0702;2022-08-24;2022-08-25;2
ML0703_7;GAO;ML0703;2016-08-01;2016-08-01;1
ML0703_8;GAO;ML0703;2016-08-02;2016-08-02;1
ML0703_9;GAO;ML0703;2017-11-30;2017-11-30;1
ML0703_10;GAO;ML0703;2018-08-31;2018-08-31;1
ML0703_11;TAMKOUTAT;ML0703;2019-08-07;2019-08-07;1
ML0802_2;KIDAL;ML0802;2016-08-01;2016-08-01;1
ML0802_3;KIDAL;ML0802;2018-09-19;2018-09-19;1
ML0802_4;ESSOUK;ML0802;2019-08-07;2019-08-07;1
ML0802_6;KIDAL;ML0802;2022-05-01;2022-05-02;2
ML0803_6;TESSALIT;ML0803;2019-08-07;2019-08-07;1
ML0901_7;BAMAKO;ML0901;2016-08-01;2016-08-01;1
ML0901_8;BAMAKO;ML0901;2016-08-04;2016-08-04;1
ML0901_9;BAMAKO;ML0901;2017-07-18;2017-07-18;1
ML0901_10;BAMAKO;ML0901;2017-08-24;2017-08-24;1
ML0901_11;BAMAKO;ML0901;2017-10-07;2017-10-08;2
ML0901_12;BAMAKO;ML0901;2017-11-30;2017-11-30;1
ML0901_13;BAMAKO;ML0901;2018-09-19;2018-09-19;1
ML0901_14;BAMAKO;ML0901;2019-05-16;2019-05-17;2
ML0901_15;BAMAKO;ML0901;2022-06-17;2022-06-18;2
ML0901_16;BAMAKO;ML0901;2022-08-12;2022-08-13;2
ML1001_1;MENAKA;ML1001;2016-08-01;2016-08-01;1
ML1001_2;MENAKA;ML1001;2018-09-19;2018-09-19;1
