admin_unit;events;event;flood_start;flood_end;duration
DIRE;1;1;2008-07-25;2008-07-25;1
DIRE;2;2;2018-08-18;2018-08-18;1
DIRE;3;3;2019-08-07;2019-08-07;1
DISTRICT;0;0;1954-08-25;1954-08-25;1
DISTRICT;1;1;1974-08-23;1974-08-23;1
DISTRICT;2;2;1996-08-04;1996-08-04;1
DISTRICT;3;3;1997-05-05;1997-05-05;1
DISTRICT;4;4;1998-08-05;1998-08-05;1
DISTRICT;5;5;1998-09-22;1998-09-22;1
DISTRICT;6;6;1999-08-05;1999-08-05;1
DISTRICT;7;7;1999-08-10;1999-08-10;1
DISTRICT;8;8;1999-08-11;1999-08-11;1
DISTRICT;9;9;1999-08-21;1999-08-21;1
DISTRICT;10;10;2002-08-08;2002-08-08;1
DISTRICT;11;11;2003-07-17;2003-07-17;1
DISTRICT;12;12;2003-08-07;2003-08-07;1
DISTRICT;13;13;2007-01-22;2007-01-22;1
DISTRICT;14;14;2007-02-26;2007-02-26;1
DISTRICT;15;15;2007-04-04;2007-04-04;1
DISTRICT;16;16;2007-09-10;2007-09-10;1
DISTRICT;17;17;2009-09-02;2009-09-02;1
DISTRICT;18;18;2010-08-01;2010-08-01;1
DISTRICT;19;19;2010-08-04;2010-08-04;1
DISTRICT;20;20;2010-08-27;2010-08-27;1
DISTRICT;21;21;2010-09-03;2010-09-03;1
DISTRICT;22;22;2010-09-19;2010-09-19;1
DISTRICT;23;23;2010-09-26;2010-09-26;1
DISTRICT;24;24;2010-11-09;2010-11-09;1
DISTRICT;25;25;2010-11-18;2010-11-18;1
DISTRICT;26;26;2012-08-11;2012-08-11;1
DISTRICT;27;27;2012-08-19;2012-08-19;1
DISTRICT;28;28;2013-09-05;2013-09-05;1
DISTRICT;29;29;2013-09-06;2013-09-06;1
DISTRICT;30;30;2013-09-13;2013-09-13;1
DISTRICT;31;31;2013-09-15;2013-09-15;1
DISTRICT;32;32;2014-06-02;2014-06-02;1
DISTRICT;33;33;2014-08-06;2014-08-06;1
DISTRICT;34;34;2014-08-23;2014-08-23;1
DJENNE;0;0;2003-08-17;2003-08-17;1
DJENNE;1;1;2006-08-23;2006-08-23;1
DJENNE;2;2;2006-08-24;2006-08-24;1
DJENNE;3;3;2009-07-27;2009-07-27;1
DJENNE;4;4;2009-10-31;2009-10-31;1
DJENNE;5;5;2012-08-08;2012-08-08;1
DJENNE;6;6;2012-08-08;2012-08-08;1
DJENNE;7;7;2022-09-05;2022-09-06;2
DJENNE;8;8;2022-09-05;2022-09-06;2
DJENNE;9;9;2022-09-05;2022-09-06;2
DJENNE;10;10;2022-09-23;2022-09-24;2
DOUENTZA;0;0;1994-09-08;1994-09-08;1
DOUENTZA;1;1;1999-08-20;1999-08-20;1
DOUENTZA;2;2;2004-08-15;2004-08-15;1
DOUENTZA;3;3;2006-08-09;2006-08-09;1
DOUENTZA;4;4;2007-07-07;2007-07-07;1
DOUENTZA;5;5;2009-08-06;2009-08-06;1
DOUENTZA;6;6;2009-09-01;2009-09-01;1
DOUENTZA;7;7;2010-06-09;2010-06-09;1
DOUENTZA;8;8;2010-07-22;2010-07-22;1
DOUENTZA;9;9;2010-11-17;2010-11-17;1
DOUENTZA;10;10;2011-07-26;2011-07-26;1
DOUENTZA;11;11;2012-08-30;2012-08-30;1
DOUENTZA;12;12;2013-09-14;2013-09-14;1
DOUENTZA;13;13;2016-07-18;2016-07-18;1
DOUENTZA;14;14;2017-06-20;2017-06-21;2
DOUENTZA;15;15;2022-08-31;2022-09-01;2
ESSOUK;0;0;2019-08-07;2019-08-07;1
GAO;0;0;2008-08-18;2008-08-18;1
GAO;1;1;2009-09-02;2009-09-02;1
GAO;2;2;2010-06-14;2010-06-14;1
GAO;3;3;2010-07-20;2010-07-20;1
GAO;4;4;2010-08-01;2010-08-01;1
GAO;5;5;2010-08-28;2010-08-28;1
GAO;6;6;2015-09-03;2015-09-03;1
GAO;7;7;2016-08-01;2016-08-01;1
GAO;8;8;2016-08-02;2016-08-02;1
GAO;9;9;2017-11-30;2017-11-30;1
GAO;10;10;2018-08-31;2018-08-31;1
GAO;11;11;2019-08-07;2019-08-07;1
GOUMERA;0;0;2019-08-07;2019-08-07;1
GOUNDAM;0;0;1999-08-21;1999-08-21;1
GOUNDAM;1;1;1999-08-21;1999-08-21;1
GOUNDAM;2;2;1999-08-21;1999-08-21;1
GOUNDAM;3;3;1999-08-21;1999-08-21;1
GOUNDAM;4;4;2002-08-28;2002-08-28;1
GOUNDAM;5;5;2004-06-01;2004-06-01;1
GOUNDAM;6;6;2010-08-31;2010-08-31;1
GOUNDAM;7;7;2011-03-21;2011-03-21;1
GOUNDAM;8;8;2011-03-28;2011-03-28;1
