identifier;events;flood_start;flood_end;duration;peak_streamflow
ML0503;2;2020-09-05;2020-10-27;53;3432.359130859375
ML0503;3;2021-09-02;2021-10-09;38;2970.971435546875
ML0503;4;2022-09-08;2022-10-24;47;2745.911865234375
ML0504;0;2016-07-21;2016-07-22;2;156.21490478515625
ML0504;1;2016-08-11;2016-08-12;2;135.43768310546875
ML0504;2;2017-08-10;2017-08-12;3;151.31590270996094
ML0504;3;2017-08-27;2017-09-05;10;221.71371459960938
ML0504;4;2018-08-08;2018-09-07;31;370.3138427734375
ML0504;5;2019-08-24;2019-09-03;11;315.29364013671875
ML0504;6;2020-08-06;2020-08-15;10;270.80718994140625
ML0504;7;2020-08-26;2020-08-31;6;220.77349853515625
ML0504;8;2022-08-30;2022-09-01;3;179.1914520263672
ML0505;0;2016-08-11;2016-08-21;11;141.353271484375
ML0505;1;2017-08-10;2017-08-14;5;129.8594207763672
ML0505;2;2017-08-25;2017-08-29;5;113.74479675292969
ML0505;3;2018-08-08;2018-09-16;40;213.23019409179688
ML0505;4;2019-08-24;2019-09-05;13;201.7991180419922
ML0505;5;2020-08-06;2020-09-15;41;170.8371124267578
ML0505;6;2022-08-28;2022-09-05;9;150.2850799560547
ML0506;0;2018-09-05;2018-11-10;67;2796.990478515625
ML0506;1;2019-09-05;2019-11-17;74;2884.725830078125
ML0506;2;2020-09-04;2020-11-18;76;3197.590576171875
ML0506;3;2021-09-05;2021-11-08;65;2690.910400390625
ML0506;4;2022-09-14;2022-11-12;60;2832.56591796875
ML0507;0;2018-09-02;2018-10-19;48;3194.377685546875
ML0507;1;2019-09-02;2019-10-19;48;3017.485595703125
ML0507;2;2020-09-05;2020-10-26;52;3636.070556640625
ML0507;3;2021-09-02;2021-10-07;36;3079.01513671875
ML0507;4;2022-09-08;2022-10-22;45;2915.371826171875
ML0508;0;2018-09-05;2018-11-12;69;2796.990478515625
ML0508;1;2019-09-06;2019-11-22;78;2848.411865234375
ML0508;2;2020-09-06;2020-11-29;85;3126.9521484375
ML0508;3;2021-09-05;2021-11-09;66;2636.958251953125
ML0508;4;2022-09-14;2022-11-16;64;2821.971435546875
ML0601;0;2016-10-10;2016-10-23;14;1745.37451171875
ML0601;1;2017-10-07;2017-10-12;6;1737.8345947265625
ML0601;2;2018-09-10;2018-12-26;108;2133.2578125
ML0601;3;2019-09-13;2020-01-04;114;2149.0390625
ML0601;4;2020-09-10;2020-12-31;113;2395.850341796875
ML0601;5;2021-09-19;2021-12-04;77;1877.6719970703125
ML0601;6;2022-09-20;2022-12-29;101;2131.073486328125
ML0602;0;2017-10-08;2017-10-14;7;1742.418212890625
ML0602;1;2018-09-08;2018-12-20;104;2154.39990234375
ML0602;2;2019-09-12;2019-12-17;97;2213.832763671875
ML0602;3;2020-09-08;2020-12-20;104;2449.752197265625
ML0602;4;2021-09-16;2021-11-27;73;1934.2772216796875
ML0602;5;2022-09-20;2022-12-16;88;2198.109130859375
ML0603;0;2016-10-08;2016-10-24;17;1732.0821533203125
ML0603;1;2017-10-09;2017-11-06;29;1713.3858642578125
ML0603;2;2018-09-15;2018-12-30;107;2035.705322265625
ML0603;3;2019-09-17;2020-01-07;113;2041.723876953125
ML0603;4;2020-09-15;2021-01-02;110;2168.66748046875
ML0603;5;2021-09-28;2021-12-11;75;1827.617919921875
ML0603;6;2022-09-28;2023-01-01;96;1999.0455322265625
ML0604;0;2017-10-08;2017-10-14;7;1754.8785400390625
ML0604;1;2018-09-08;2018-12-20;104;2178.197265625
ML0604;2;2019-09-12;2019-12-17;97;2294.147216796875
ML0604;3;2020-09-08;2020-12-19;103;2513.53662109375
ML0604;4;2021-09-16;2021-11-29;75;1956.5052490234375
ML0604;5;2022-09-20;2022-12-16;88;2221.724853515625
ML0605;0;2016-10-08;2016-10-24;17;1724.85302734375
ML0605;1;2017-10-10;2017-11-06;28;1712.76416015625
ML0605;2;2018-09-16;2018-12-31;107;2033.490478515625
ML0605;3;2019-09-19;2020-01-07;111;2038.740234375
ML0605;4;2020-09-16;2021-01-02;109;2125.432861328125
ML0605;5;2021-09-28;2021-12-10;74;1820.839111328125
ML0605;6;2022-09-28;2022-12-30;94;1995.7269287109375
ML0701;0;2016-01-05;2016-01-29;25;1528.0068359375
ML0701;1;2016-11-23;2016-12-25;33;1438.1287841796875
ML0701;2;2018-11-13;2019-01-23;72;1580.3482666015625
ML0701;3;2019-11-09;2020-01-26;79;1623.6905517578125
ML0701;4;2020-11-08;2021-01-18;72;1590.21826171875
ML0701;5;2021-11-24;2022-01-02;40;1474.973388671875
ML0701;6;2022-11-04;2023-01-20;78;1548.5001220703125
ML0702;0;2016-01-05;2016-01-09;5;1652.8909912109375
ML0702;1;2017-10-16;2017-11-17;33;1692.9066162109375
ML0702;2;2018-09-21;2019-01-03;105;1922.9068603515625
ML0702;3;2019-09-24;2020-01-13;112;2022.5135498046875
ML0702;4;2020-09-20;2021-01-10;113;2083.132080078125
ML0702;5;2021-09-28;2021-12-27;91;1755.492919921875
ML0702;6;2022-10-01;2023-01-02;94;1942.94287109375
ML0703;0;2016-01-05;2016-01-20;16;1588.141357421875
ML0703;1;2018-10-13;2019-01-11;91;1715.08984375
ML0703;2;2019-09-29;2020-01-18;112;1777.5343017578125
ML0703;3;2020-09-26;2021-01-12;109;1875.8101806640625
ML0703;4;2021-12-10;2022-01-12;34;1545.477294921875
ML0703;5;2022-10-13;2023-01-16;96;1699.985595703125
ML0901;0;2018-08-30;2018-10-14;46;4764.3291015625
ML0901;1;2019-09-02;2019-10-19;48;4659.5751953125
ML0901;2;2020-09-06;2020-10-17;42;4817.9013671875
ML0901;3;2021-09-02;2021-10-04;33;4437.060546875
ML0901;4;2022-09-05;2022-10-18;44;4395.0712890625
