Date,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
11/01 12:00,,257.3999939,306.2999878,273.3999939,249,321.5,305.8999939,176.6000061,262.6000061,229.6999969,154.8999939,163.1999969,114.4000015,186.1999969,169.1000061,270.6000061,158.1999969,169.8000031,196.3999939,132.6999969,150.1999969,89.48999786,66.06999969,33.06999969,17.34000015,35.36000061,67.37000275,100.1999969,25.64999962,39.31999969,48.97000122,40.77999878,36.20999908,30.79999924,8.38599968,8.409000397,11.84000015,11.84000015,7.892000198,20.92000008,17.20999908,15.42000008,32.31000137,23.37000084,24.88999939,105.0999985,50.02999878,34.68000031,33.22999954,,94.61000061,67.61000061,33.63999939,23.12999916,50.08000183,26.02000046,29.11000061,688.2999878,691.4000244,653.2999878,665,567.4000244,686.2000122,696.7000122,581.5,643.2000122,663,692.2000122,660.5999756
12/01 12:00,,255.3999939,302,270.8999939,245,317.1000061,299.3999939,172.8999939,256.7000122,224.1000061,151.6000061,159.8999939,111.8000031,181.3000031,168.8000031,265.1000061,154.8999939,166.1999969,189.6999969,136.1999969,146.3999939,86.87000275,64.08000183,32.31000137,17.18000031,34.75999832,65.76000214,98.87000275,25.44000053,39.00999832,46.63999939,39.11999893,35.52999878,30.04000092,8.291999817,8.197999954,11.38000011,11.28999996,7.563000202,20.20000076,16.61000061,14.94999981,31.55999947,23.15999985,24.68000031,102.5,48.59000015,33.99000168,32.47000122,,91.98999786,66.48999786,32.47000122,22.21999931,49.06000137,25.26000023,27.80999947,686.2000122,689.2000122,651.9000244,662.2000122,571.5999756,684.5,694.7000122,577.5,638.7999878,671.5,688.5999756,659.0999756
13/01 12:00,,253.3999939,297.7000122,267.5,241.1000061,312.2999878,293.3999939,168,250.6999969,218.6000061,148.6000061,156.1999969,109.4000015,176.6000061,166.1999969,261.5,152,161.3000031,184.8999939,128.8999939,141.3000031,84.01000214,62.90000153,31.55999947,16.61000061,34.20999908,62.77999878,97.55999756,24.71999931,38.33000183,45.38999939,38.13000107,35.31000137,29.45000076,7.986000061,7.585999966,11.26000023,10.94999981,7.350999832,19.59000015,16.02000046,14.78999996,30.79999924,22.44000053,24.12999916,100.4000015,47.22999954,33.22999954,31.70999908,,89.37999725,63.77000046,31.70999908,21.45999908,47.65000153,24.77000046,27,686,689,649.7999878,662,575.9000244,681.5,686.2000122,574.0999756,636,667.4000244,683.4000244,659.0999756
14/01 12:00,,250.5,290.6000061,265.3999939,237.3000031,306.3999939,288.6000061,163.6999969,244.6999969,213.1000061,145.6000061,151.6999969,107.6999969,173.1999969,157,258.5,150,157,181.1999969,123.4000015,138.5,80.41999817,61.79000092,30.79999924,16.02000046,32.40000153,60.49000168,96.54000092,23.95999908,38.06999969,43.58000183,37.40000153,34.41999817,28.89999962,7.868999958,7.539000034,10.85999966,10.82999992,6.739999771,19,15.55000019,14.22999954,30.04000092,21.68000031,23.92000008,97.36000061,45.79000092,32.15999985,30.92000008,,87.36000061,59.43999863,30.64999962,20.67000008,45.74000168,23.46999931,26.06999969,685.2999878,689,642.2999878,660.5999756,577.2000122,679.9000244,676.9000244,565.2999878,637.4000244,666.2999878,682.9000244,659.0999756
15/01 12:00,,245.1000061,277.7000122,262.8999939,233.6000061,301.5,282.7000122,161.5,239.1999969,208,142.6000061,148.6000061,105.1999969,168.6999969,153.3000031,253.6000061,147.1000061,154.8000031,176.3000031,119.5999985,136.3000031,77.05000305,60.91999817,30.04000092,15.42000008,31.55999947,58.74000168,96.18000031,23.03000069,37.40000153,41.91999817,37.13999939,33.11999893,27.09000015,7.563000202,7.445000172,10.52000046,10.52000046,6.69299984,18.53000069,15.39000034,13.63000011,29.28000069,21.09000015,23.20000076,95.20999908,44.86000061,31.29999924,29.17000008,,85.51999664,58.56000137,29.78000069,19.44000053,43.63999939,22.97999954,24.60000038,683.0999756,687.5999756,640.2000122,657.7000122,581,679.9000244,670.7000122,562.0999756,639.5,666.2999878,682.7000122,659.0999756
16/01 12:00,,240.3000031,275.7000122,258.6000061,229.8999939,295.6000061,276.7000122,158.1999969,235.3999939,203.8000031,139.6999969,145.6000061,102.5999985,161.8000031,150.1000061,251.8000031,144.3999939,151.6000061,171.6000061,114.8000031,132.3000031,73.69999695,60.61000061,29.28000069,14.81999969,30.79999924,58.36999893,94.94000244,21.72999954,37.13999939,40.93000031,36.25999832,32.31000137,26.06999969,7.539000034,7.139999866,10.40999985,10.40999985,6.598999977,18.37000084,14.81999969,13.03999996,28.52000046,20.87999916,22.44000053,93.23000336,43.93000031,30.20000076,27.92000008,,84.08999634,57.04000092,28.71999931,18.53000069,42.52000046,22.45000076,23.25,682.9000244,681.9000244,637.0999756,654.7999878,579,679.7000122,662.5,559.4000244,630.2999878,665.0999756,680.0999756,657.5
17/01 12:00,,233.3999939,281.2999878,254,226.1999969,290.7999878,270.7000122,155.1999969,232.1000061,198.8000031,136.6999969,142.6000061,100.3000031,158.1999969,147.1000061,250.8000031,142.5,147.8999939,168.6000061,112.6999969,128.5,70.34999847,59.54999924,28.52000046,14.35999966,30.04000092,57.31999969,93.62999725,21.09000015,36.25999832,40,35.36000061,31.55999947,25.10000038,7.445000172,7.021999836,10.01000023,10.01000023,6.293000221,17.79999924,14.35999966,12.43999958,27.76000023,20.20000076,21.68000031,89.44000244,42.61000061,28.79000092,27.15999985,,82.77999878,54.86999893,27.95000076,17.93000031,41.59000015,20.51000023,22.27000046,682.9000244,677.0999756,633,653.0999756,578.5999756,677,656.2000122,556.5999756,623.0999756,664.9000244,679.9000244,653.4000244
18/01 12:00,,228.1999969,279.8999939,253.3000031,222.6000061,285.2000122,264.7000122,153.1999969,229.3999939,195,133.6999969,139.6999969,98.58000183,154.8999939,144.1000061,247.8999939,139.6999969,143.1000061,166.8000031,109.1999969,123.4000015,67.25,58.43999863,27.76000023,14.19999981,29.28000069,56.20000076,92.02999878,20.87999916,35.36000061,39.06000137,34.75999832,30.79999924,25.22999954,7.139999866,6.71600008,9.585000038,9.678999901,6.269999981,17.20999908,14.19999981,11.84000015,27,19.59000015,20.92000008,85.65000153,41.54000092,27.54000092,26.04999924,,81.55999756,54.15999985,26.78000069,17.09000015,40.65999985,20.02000046,20.96999931,682.2000122,676.0999756,630.0999756,650.5,578.5999756,675.4000244,646.2999878,554.7999878,617,664.7000122,678.4000244,650.4000244
19/01 12:00,,224.3999939,273.2999878,251.3999939,218.8999939,281,258.7000122,150.1000061,224.5,191.1999969,130.6999969,136.6999969,96.02999878,151.6000061,140.5,247.3000031,137,141,167.3999939,107.0999985,120.3000031,65.44000244,57.31999969,27.17000008,13.76000023,28.35000038,54.88000107,88.91000366,20.32999992,34.41999817,38.13000107,34.54999924,30.20999908,23.84000015,7.021999836,6.69299984,9.161999702,9.56099987,6.081999779,16.73999977,13.63000011,11.38000011,26.23999977,19,20.20000076,84.08999634,40.18999863,27.09000015,24.87999916,,80.38999939,53.29999924,25.97999954,16.40999985,39.72000122,19.65999985,20.06999969,679.4000244,674,625.9000244,650.0999756,579.7999878,673.5999756,640.2999878,548.7000122,611.2000122,662.0999756,676.7999878,647.5
20/01 12:00,,221.1000061,269,249.3999939,215.1999969,277,253.1000061,147.1000061,221.1000061,186.6000061,128,134,93.69999695,149.3000031,135,245.8000031,134.3999939,137.8999939,170.3999939,106.3000031,117.3000031,65.31999969,56.20000076,27.12999916,13.72999954,27.04999924,53.13000107,84.15000153,20.15999985,33.11999893,36.99000168,34,30,22.64999962,6.622000217,6.598999977,8.833000183,9.06799984,5.46999979,16.57999992,13.17000008,11.35000038,25.47999954,18.39999962,19.59000015,82.77999878,39.25999832,26.39999962,24.15999985,,78.76999664,51.86000061,24.87999916,15.55000019,38.74000168,19.15999985,19.03000069,677,673.7999878,624,647.5999756,578.7000122,670.7999878,634.5,542.9000244,605.5,659.2999878,675.4000244,644.5999756
