Date,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
17/01 12:00,,364.8999939,307.1000061,408.1000061,187.6999969,173,193,128.8000031,145.1000061,161.1000061,345,114.8000031,183.3000031,165.3999939,128.3000031,103.3000031,85.72000122,81.98000336,57.75999832,54.06999969,67.16999817,74.41999817,40.29000092,64.44000244,66.93000031,81.62000275,67.16999817,101.5999985,203.8000031,158,128.6999969,136.1000061,114.3000031,188.8999939,170,154.3999939,87.47000122,126,,76.98000336,101,63.22999954,101.0999985,143.8000031,172.6999969,63.38999939,159.8000031,108.0999985,111.1999969,218.5,146.1999969,100
18/01 12:00,,357.1000061,299.6000061,396.8999939,182.5,167.8000031,180.3000031,126.1999969,144.1000061,158.6000061,351.2000122,112.1999969,175.8000031,161.1000061,124.8000031,101.0999985,83.93000031,79.22000122,56.40000153,52.79999924,65.45999908,73.08999634,38.72000122,62.65999985,64.12999725,80.06999969,65.76999664,99.27999878,197.8999939,154.3000031,126.6999969,131,106.3000031,182.6999969,165.1999969,154.1000061,85.12999725,122.1999969,,74.75,97.33000183,61.24000168,98.91000366,138.3000031,167.5,61.22000122,153.3000031,104.4000015,109,209.8999939,144,98.20999908
19/01 12:00,,349.2999878,292.5,397.1000061,176.5,163.5,177,122.8000031,140.3000031,155.6999969,340.8999939,108.8000031,170.1999969,158.6000061,122.6999969,97.55999756,82.33000183,77.52999878,55.47000122,51.33000183,63.04000092,72.37999725,38.36999893,59.97999954,61.33000183,71.27999878,64.05999756,95.72000122,192.1999969,150.8000031,124.1999969,123.0999985,93.44000244,176.3000031,160.3999939,150.8999939,82.66999817,118.1999969,,73.15000153,93.66000366,59.65999985,93.80999756,132.1999969,160.5,59.06999969,148.3000031,101.8000031,104.5,203.6000061,141.8999939,96.37000275
20/01 12:00,,341.5,285.7000122,387.5,156.3999939,160.5,168.6999969,120.1999969,137.1999969,151.5,330.2000122,106.8000031,165.8999939,156.1999969,120.1999969,94.30000305,81.08999634,75.58000183,55.13000107,49.27000046,61.25999832,70.04000092,37.15999985,57.40999985,58.88999939,67.01000214,61.33000183,92.05999756,186.8000031,146.1999969,120.3000031,120.1999969,102.3000031,183.3999939,155.6000061,148.1999969,81.06999969,114.1999969,,70.26000214,90.87000275,57.81999969,90.01000214,128.1000061,153.3999939,57.29999924,144.1000061,99.16000366,103.4000015,197.6000061,139,94.63999939
21/01 12:00,,334.6000061,278.8999939,372.2999878,147,156.3000031,166.3000031,116.3000031,135.1999969,148.6000061,321.5,104.8000031,162.8999939,153.8000031,116.3000031,91.95999908,80.63999939,72.55999756,54,48.27000046,58.88999939,68.56999969,35.45000076,55,57.33000183,64.44000244,58.61999893,88.48999786,183.6000061,145.1999969,116.3000031,115.4000015,101.5,187.3999939,150.8000031,144.1000061,79.47000122,110.1999969,,68.86000061,88.27999878,56.61999893,85.72000122,124,147.6999969,54.90000153,141,95.48999786,99.98000336,188.1999969,136.1999969,94.38999939
22/01 12:00,,329.7000122,271.2999878,359.5,136.3999939,153.3000031,165.1000061,112.8000031,128.1000061,144.8000031,311.1000061,101.9000015,158.1999969,151.3999939,111.1999969,88.48999786,78.06999969,70.04000092,52.79999924,47.70000076,57.33000183,65.91999817,34.02000046,52.59999847,55,62.97000122,56.20000076,85.62000275,178.1999969,150.3999939,113.6999969,109,99.27999878,183.8000031,146.1999969,138.3000031,77.87000275,106.4000015,,66.81999969,85.06999969,54.91999817,78.15000153,118.1999969,137.8999939,53.04999924,138.1000061,91.83000183,95.55999756,180.8999939,133.8999939,92.70999908
23/01 12:00,,322.2999878,263.6000061,343.2999878,129.6000061,149.1000061,160.6000061,110.1999969,122.4000015,142.1999969,302.6000061,99.87000275,155.5,149,104.3000031,85.62000275,72.73000336,68.56999969,51.59999847,45.61000061,55.27000046,60.47999954,31.48999977,50.20000076,52.59999847,61.56999969,54.06999969,83.58000183,172.6999969,155.1999969,115.8000031,103.9000015,95.72000122,178.1000061,141.3000031,132.3999939,76.26999664,104.4000015,,64.01999664,,53.56000137,80.48999786,114,140.1999969,51.36000061,133.1000061,88.27999878,93.66000366,175.3000031,130.1000061,90.09999847
24/01 12:00,,314.7000122,261.5,325.1000061,121.1999969,146.1999969,156.3000031,106.5,118.8000031,138.8000031,291.8999939,97.09999847,161.3999939,146.6999969,104.1999969,83.58000183,70.04000092,66.86000061,50.40000153,43.97000122,54,57.20999908,29.95999908,48.06999969,49.93000031,60.16999817,52.52999878,79.76000214,167.6000061,160,119.6999969,95.48999786,92.05999756,170.3000031,137.1000061,128.1999969,74.58999634,102.6999969,,61.22000122,,51.81999969,79.87999725,108.3000031,135.1000061,50.59999847,128.1000061,85.16000366,90.87000275,169.8999939,126.0999985,88.23000336
25/01 12:00,,307.1000061,255.1000061,308.8999939,113.5999985,142.3000031,153.8000031,103.5999985,116.1999969,136.6999969,282.5,95.02999878,173.3999939,144.6999969,105,80.47000122,68.87999725,64.44000244,49.47000122,43.61999893,52.52999878,50.02999878,29.85000038,46.83000183,46.72999954,58.81000137,50.20000076,73.66999817,163.8999939,164.8000031,123.1999969,100.9000015,88.84999847,165.1999969,133.3000031,124.1999969,71.16999817,101,,59.06999969,,50.61999893,75.55999756,104.4000015,123.1999969,49.5,124.0999985,83.43000031,88.27999878,162.8000031,122.1999969,86.62999725
26/01 12:00,,299.6000061,248.3000031,291.6000061,111.6999969,139.1999969,150.8999939,101.5,112.8000031,134.1999969,274.7000122,91.90000153,183,142.6999969,102.8000031,77.62000275,68.48999786,62.97000122,49.13000107,42.86000061,50.20000076,45.74000168,29.63999939,45.54000092,44.77999878,57.59999847,48.06999969,68.5,160.3999939,169.6000061,124.4000015,98.47000122,86.77999878,161.5,128.1999969,120.1999969,68.86000061,99.90000153,,57.29999924,,48.91999817,74.43000031,101,128.1999969,47.59000015,120.0999985,82.59999847,85.06999969,154.3999939,120.9000015,85.80000305
27/01 12:00,,293.2000122,242.1999969,278.5,107,138.6000061,146.3999939,98.72000122,110.6999969,130.3000031,264.7000122,90.16000366,176.8000031,140.6999969,98.44999695,75.58000183,67.16999817,61.25999832,47.77000046,42.33000183,48.06999969,43.72999954,28.73999977,43.72999954,43.66999817,56.40000153,46.59999847,65.22000122,155.6000061,173.3999939,122.1999969,92.66999817,83.66999817,159.1000061,124.1999969,116.1999969,67.45999908,98.25,,56.06000137,,47.61999893,71.75,98.20999908,124.1999969,45.99000168,116.1999969,81.73999786,81.95999908,147.3999939,119,85.70999908
28/01 12:00,,288.8999939,237.8999939,268.8999939,106.6999969,135.8000031,142.8000031,96.65000153,108.6999969,126.8000031,255.3000031,93.33000183,165.8999939,138.6999969,94.76000214,72.87000275,66.08000183,58.88999939,45.13999939,40.81999969,47.06999969,42.86000061,27.79000092,42.61999893,42.38999939,54.93000031,44.54999924,61.72000122,150.8000031,170,118.3000031,90.52999878,80.47000122,152.3000031,120.1999969,112.1999969,66.12999725,96.41000366,,55.99000168,,46.43999863,69.55999756,96.26000214,120.1999969,43.97999954,113.9000015,78.66999817,80.13999939,143,116.0999985,84.23000336
29/01 12:00,,282.2999878,231.3999939,261.8999939,110.6999969,130.3999939,140.1999969,93.5,107.0999985,124.6999969,247.5,99.61000061,159,136.6999969,90.73000336,71.68000031,65.69000244,57.59999847,41.97999954,40.22999954,46.77000046,42.56999969,26.87999916,41.34000015,40.58000183,52.59999847,42.91999817,59.63000107,147.1000061,165.1999969,114.8000031,88.75,77.62000275,144.1999969,116.1999969,107.4000015,65.36000061,93.73999786,,54.25,69.55999756,44.41999817,67.51000214,91.97000122,116.1999969,41.79000092,110.0999985,75.55999756,77.06999969,141,112.0999985,82.62999725
30/01 12:00,,275.5,225,256.6000061,110.5999985,126.3000031,136.3000031,90.63999939,106.5999985,122.1999969,237.5,107.5,146.8999939,134.6999969,89.04000092,71.29000092,64.37000275,56.40000153,41.52000046,38.47999954,45.54000092,41.34000015,26.06999969,39.29999924,39.24000168,50.20000076,42.56999969,56.27999878,144.3000031,161.5,112.1999969,87.12999725,75.93000031,141.1000061,112.3000031,102.8000031,63.95999908,90.08000183,,52.56000137,66.76000214,42.31999969,66.65000153,88.27999878,113.0999985,40.74000168,106.1999969,73.75,73.95999908,138.6999969,108.0999985,81.02999878
31/01 12:00,,268.7000122,219,254.6999969,108.6999969,122.3000031,132.3000031,88.02999878,105.0999985,118.8000031,228.1999969,104.9000015,136.6999969,132.6999969,87.86000061,69.97000122,63.27999878,55.20000076,40.52999878,37.15999985,43.97000122,39.52999878,24.90999985,37.43000031,37.22000122,47.83000183,41.81000137,54.86999893,141.8000031,159.6000061,108.8000031,85.52999878,,139.1000061,110.6999969,99.13999939,63.20000076,87.47000122,,51.25,64.04000092,40.97999954,64.04000092,85.06999969,110.1999969,39.68999863,102.5999985,70.95999908,73,137,104.4000015,79.43000031
01/02 12:00,,261.8999939,213.6999969,249.8000031,107.0999985,118.3000031,128.3000031,81.33000183,104.1999969,116.1999969,221.3000031,101.1999969,137.3999939,130.6999969,87.77999878,68.87999725,62.88999939,54,39.47999954,35.45000076,43.61999893,38.41999817,23.12999916,36.34999847,35.45000076,46.08000183,41.52000046,55.93000031,132.3999939,164.3000031,106,83.58000183,,137.1000061,109.3000031,94.65000153,62.47999954,85.12999725,,50.04999924,63.11999893,50,63.11999893,81.87000275,106.3000031,38.11000061,97.47000122,68.23999786,73,133,101,77.83000183
02/02 12:00,,255.8000031,209.8000031,248.6000061,107,114.8000031,125.1999969,73.05999756,105.6999969,112.8000031,212.5,96.83000183,132.3999939,128.6999969,88.12000275,68.48999786,61.56999969,52.79999924,37.97999954,34.43999863,42.86000061,37.36999893,22.81999969,35.18000031,34.22999954,45.72000122,40.52999878,54.06999969,135,160.5,101.3000031,80.47000122,,134.1999969,107.8000031,91.08000183,60.45999908,81.93000031,,48.84999847,61.15999985,45.75,61.83000183,78.66999817,102.8000031,35.31000137,93.66000366,67.31999969,72.91999817,125.3000031,98.30999756,76.23000336
03/02 12:00,,251.5,204,245.3999939,106.5999985,113.0999985,123.6999969,70.01999664,106.1999969,110.1999969,204.1999969,93.5,127.9000015,126.6999969,89.54000092,67.16999817,60.16999817,51.33000183,35.09000015,33.27999878,42.56999969,36.34999847,21.88999939,33.33000183,32.59000015,44.72999954,39.47999954,52.79999924,132.1999969,157.5,97.55999756,77.26999664,,130.1999969,106.3000031,88.36000061,58.52000046,78.73000336,,48.20000076,59.04000092,43.43000031,60.36000061,75.52999878,99.23000336,34.15999985,90.01000214,65.36000061,71.62999725,120.1999969,98.16999817,74.62999725
04/02 12:00,,244.8999939,198.1000061,241.3000031,104,112.5999985,119.3000031,67.69000244,103.5999985,106.5,197.5,90.30999756,122.4000015,124.6999969,91.08000183,66.08000183,59.08000183,49.27000046,32.65000153,31.63999939,41.58000183,35.38999939,20.51000023,31.63999939,31.59000015,43.66999817,38.41999817,51.59999847,129.1000061,148.8999939,94.30000305,74.11000061,,127.0999985,104.8000031,85.22000122,56.65000153,75.45999908,,48.02000046,57.31999969,42.18000031,57.93000031,72.44000244,95.56999969,33.20999908,86.66999817,62.56000137,69.55999756,118,98.16999817,73.04000092
05/02 12:00,,238.1000061,193.1000061,236.1999969,98.90000153,110.1999969,117.6999969,65.73000336,102.1999969,104,189.8000031,86.94000244,117.9000015,122.6999969,92.69000244,65.69000244,58.72999954,48,31.59000015,30.63999939,40.52999878,36.47000122,19.67000008,30.63999939,30.43000031,42.86000061,37.36999893,50.13000107,126.1999969,137.1999969,91.95999908,71.13999939,,124.1999969,103.3000031,82.73000336,55.45000076,71.16999817,,44.72999954,55.95999908,39.31000137,56.61999893,69.62000275,91.90000153,32.65000153,84.23000336,59.77000046,67.43000031,116.9000015,98.16999817,71.62999725
06/02 12:00,,231.3999939,189.5,231.6000061,97.01000214,106.9000015,112.4000015,62.81999969,101.4000015,103.0999985,184.6999969,82.83000183,112.4000015,120.6999969,93.94999695,64.37000275,57.59999847,46.83000183,30.85000038,29.69000053,39.47999954,49.77000046,18.90999985,29.47999954,28.57999992,42.56999969,36.13999939,47.83000183,122.1999969,139.3999939,88.13999939,68.33000183,,120.1999969,101.8000031,79.44999695,54.50999832,68.22000122,,43.79000092,54.22999954,39.04000092,55.43000031,66.81999969,88.36000061,31.79000092,81.87000275,57.81999969,65.27999878,114.0999985,98.05999756,69.63999939
07/02 12:00,,225,184.1000061,218,95.75,105.0999985,108.8000031,62.34000015,98.36000061,100.3000031,181.1000061,79.73000336,108.0999985,118.6999969,93.31999969,63.27999878,56.66999817,45.54000092,30.79999924,28.73999977,38.18999863,71.76999664,18.29999924,27.67000008,26.75,41.58000183,34.49000168,45.61000061,118.1999969,134.1999969,83.40000153,65.52999878,,116,100.3000031,75.62000275,55.13000107,65.41999817,,42.90000153,53.02999878,37.61999893,54.22999954,64.01999664,85.12999725,30.45999908,78.66999817,55.04000092,61.43000031,110.0999985,95.48999786,68.12999725
08/02 12:00,,219.6999969,178.5,215.6999969,94.58000183,103.9000015,107.0999985,61.50999832,94.41999817,98.26999664,175.6999969,76.75,103.4000015,116.6999969,90.63999939,62.88999939,56.33000183,43.72999954,30.59000015,27.79000092,36.40999985,61.59999847,17.70000076,26.29999924,25.30999947,40.29000092,33.27999878,43.72999954,115.0999985,130.1999969,78.95999908,62.72999954,,108.5999985,98.80000305,73.22000122,50.83000183,62.61999893,,42.74000168,51.31999969,35.16999817,52.45000076,61.93000031,82.01999664,29.36000061,75.38999939,53.45999908,60.93999863,106.1999969,91.83000183,67.31999969
09/02 12:00,,215.8000031,173,210.6999969,90.40000153,103.0999985,106.3000031,60.93999863,88.63999939,95.48000336,170.1999969,73.66999817,99.25,114.1999969,88.69999695,61.56999969,55.20000076,42.61999893,29.89999962,26.87999916,35.38999939,47.20999908,17.10000038,25.84000015,24.46999931,38.25,31.63999939,42.61999893,112.1999969,125.0999985,75.66999817,57.58000183,,104.5,97.30999756,70.95999908,49.99000168,59.83000183,,41.84999847,49.95999908,34.13999939,50.61999893,61.15999985,80.91000366,27.98999977,71.08000183,51.75999832,58.90000153,102.6999969,88.27999878,66.02999878
10/02 12:00,,210,168.3999939,208.1999969,87.94999695,100.3000031,104,59.02000046,84.33999634,93.41000366,165.8999939,70.09999847,93.68000031,110.8000031,86.09999847,60.16999817,54.27000046,41.58000183,29.63999939,26.06999969,34.43999863,39,16.5,24.51000023,23.67000008,36.18999863,30.63999939,41.34000015,108.1999969,118.4000015,72.55999756,49.88000107,,101,95.81999969,69.48000336,48.31000137,57.84999847,,41.27000046,48.29000092,33.09000015,49.49000168,59.75999832,78.81999969,27.09000015,68.83000183,48.38000107,55.04000092,99.26000214,85.06999969,64.62999725
11/02 12:00,,204.6999969,165.3000031,207.3000031,86.44000244,98.26999664,102.6999969,57.81000137,81.56999969,90.30999756,162.8999939,67.40000153,90.98000336,108.6999969,85.18000031,59.08000183,53.93000031,40.52999878,28.73999977,25.27000046,33.49000168,34.25,16.17000008,23.48999977,22.87000084,34.49000168,29.69000053,39.52999878,104.5,114.0999985,69.73000336,56.06999969,,97.40000153,94.31999969,66.88999939,47.59000015,56.15999985,,40.22000122,47.56000137,30.95000076,49.33000183,58.45000076,77.80000305,26.59000015,66.76000214,45.47000122,52.45000076,98.73000336,81.95999908,63.22999954
12/02 12:00,,202.1999969,160.6000061,204.5,81.40000153,95.48000336,98.80999756,56.65999985,80.30999756,87.61000061,158.1999969,64.77999878,90.45999908,106.8000031,85.51000214,58.72999954,52.79999924,39.47999954,27.79000092,24.29000092,32.75,31.70000076,16.96999931,22.11000061,22.06999969,33.49000168,28.53000069,38.18999863,101,108.4000015,66.93000031,56.33000183,,93.73999786,92.83000183,65.27999878,45.99000168,54.79000092,,39.59000015,45.97000122,30.34000015,48.22999954,57.18999863,76.98000336,25.06999969,64.62999725,43.36999893,50.68999863,93.16999817,80.13999939,61.90999985
13/02 12:00,,201.3000031,155.8000031,201.5,78.88999939,93.41000366,97.01000214,55.50999832,79.55999756,85.68000031,153.8999939,62.22999954,89.04000092,105.0999985,83.08000183,57.59999847,51.86999893,38.18999863,27.04999924,22.72999954,32.49000168,30.43000031,18.03000069,21.27000046,21.27000046,32.75,26.75,36.61999893,98.25,104.5,64.12999725,55.20000076,,90.08000183,91.33999634,63.25999832,44.93999863,53.04999924,,38.63999939,44.97999954,29.29000092,47.02999878,54.95999908,73.94000244,23.51000023,62.56000137,41.38999939,50.52999878,90.72000122,77.06999969,61.04999924
14/02 12:00,,199.1999969,151,198.5,79.05999756,90.30999756,94.33000183,54.36000061,76.75,83.41999817,150.8999939,59.65999985,87.52999878,103.5,81.48999786,56.66999817,51.52999878,38.02000046,26.81999969,21.30999947,31.59000015,28.04999924,17.27000046,20.46999931,20.46999931,32.70000076,25.30999947,36.29000092,95.56999969,100.1999969,61.33000183,53.72999954,,86.73000336,89.83999634,61.86000061,43.88999939,51.36000061,,37.65000153,44.40000153,27.60000038,45.97000122,54.13999939,70.37000275,22.95999908,59.77000046,40.65999985,48.84999847,88.27999878,73.95999908,58.81999969
15/02 12:00,,198.3999939,146.8000031,196.3999939,78.55999756,87.61000061,89.30999756,53.20999908,73.95999908,83.25,146.3999939,56.52999878,86.01999664,101.8000031,79.98000336,56.33000183,50.40000153,40.41999817,26.06999969,20.46999931,30.63999939,24.12999916,17.20000076,19.67000008,19.67000008,32.90999985,24.29000092,35.18000031,92.75,95.56999969,58.61999893,51.66999817,,83.44999695,88.34999847,60.38999939,42.90000153,49.99000168,,37.06999969,43.79000092,27.89999962,44.91999817,53.04999924,67.45999908,22.22999954,57.25,39.59000015,46.52999878,85.06999969,73,57.56000137
