;gaugeId;issue_date;issue_time;fc_date;fc_value
74;hybas_1121905290;2024-11-10;2024-11-10 13:37:34.326086+00:00;2024-11-11;1644.047607421875
75;hybas_1121905290;2024-11-10;2024-11-10 13:37:34.326086+00:00;2024-11-12;1582.518798828125
76;hybas_1121905290;2024-11-10;2024-11-10 13:37:34.326086+00:00;2024-11-13;1521.890380859375
77;hybas_1121905290;2024-11-10;2024-11-10 13:37:34.326086+00:00;2024-11-14;1459.4716796875
78;hybas_1121905290;2024-11-10;2024-11-10 13:37:34.326086+00:00;2024-11-15;1402.9439697265625
79;hybas_1121905290;2024-11-10;2024-11-10 13:37:34.326086+00:00;2024-11-16;1353.2244873046875
80;hybas_1121905290;2024-11-11;2024-11-11 13:57:08.618647+00:00;2024-11-10;1719.8092041015625
81;hybas_1121905290;2024-11-11;2024-11-11 13:57:08.618647+00:00;2024-11-11;1638.304443359375
82;hybas_1121905290;2024-11-11;2024-11-11 13:57:08.618647+00:00;2024-11-12;1578.71337890625
83;hybas_1121905290;2024-11-11;2024-11-11 13:57:08.618647+00:00;2024-11-13;1519.0736083984375
84;hybas_1121905290;2024-11-11;2024-11-11 13:57:08.618647+00:00;2024-11-14;1457.704345703125
85;hybas_1121905290;2024-11-11;2024-11-11 13:57:08.618647+00:00;2024-11-15;1401.826171875
86;hybas_1121905290;2024-11-11;2024-11-11 13:57:08.618647+00:00;2024-11-16;1352.1041259765625
87;hybas_1121905290;2024-11-11;2024-11-11 13:57:08.618647+00:00;2024-11-17;1300.060791015625
88;hybas_1121905290;2024-11-12;2024-11-12 13:45:55.656587+00:00;2024-11-11;1634.9716796875
89;hybas_1121905290;2024-11-12;2024-11-12 13:45:55.656587+00:00;2024-11-12;1572.2789306640625
90;hybas_1121905290;2024-11-12;2024-11-12 13:45:55.656587+00:00;2024-11-13;1514.7200927734375
91;hybas_1121905290;2024-11-12;2024-11-12 13:45:55.656587+00:00;2024-11-14;1454.9493408203125
92;hybas_1121905290;2024-11-12;2024-11-12 13:45:55.656587+00:00;2024-11-15;1399.173583984375
93;hybas_1121905290;2024-11-12;2024-11-12 13:45:55.656587+00:00;2024-11-16;1349.01318359375
94;hybas_1121905290;2024-11-12;2024-11-12 13:45:55.656587+00:00;2024-11-17;1297.2752685546875
95;hybas_1121905290;2024-11-12;2024-11-12 13:45:55.656587+00:00;2024-11-18;1239.900146484375
96;hybas_1121905290;2024-11-13;2024-11-13 13:39:35.062881+00:00;2024-11-12;1567.76953125
97;hybas_1121905290;2024-11-13;2024-11-13 13:39:35.062881+00:00;2024-11-13;1508.0352783203125
98;hybas_1121905290;2024-11-13;2024-11-13 13:39:35.062881+00:00;2024-11-14;1450.2310791015625
99;hybas_1121905290;2024-11-13;2024-11-13 13:39:35.062881+00:00;2024-11-15;1396.1312255859375
100;hybas_1121905290;2024-11-13;2024-11-13 13:39:35.062881+00:00;2024-11-16;1346.5721435546875
101;hybas_1121905290;2024-11-13;2024-11-13 13:39:35.062881+00:00;2024-11-17;1295.2965087890625
102;hybas_1121905290;2024-11-13;2024-11-13 13:39:35.062881+00:00;2024-11-18;1241.7696533203125
103;hybas_1121905290;2024-11-13;2024-11-13 13:39:35.062881+00:00;2024-11-19;1180.4525146484375
104;hybas_1121905290;2024-11-14;2024-11-14 13:53:53.809912+00:00;2024-11-13;1504.560302734375
105;hybas_1121905290;2024-11-14;2024-11-14 13:53:53.809912+00:00;2024-11-14;1443.1663818359375
106;hybas_1121905290;2024-11-14;2024-11-14 13:53:53.809912+00:00;2024-11-15;1394.13427734375
107;hybas_1121905290;2024-11-14;2024-11-14 13:53:53.809912+00:00;2024-11-16;1344.202392578125
108;hybas_1121905290;2024-11-14;2024-11-14 13:53:53.809912+00:00;2024-11-17;1294.379150390625
109;hybas_1121905290;2024-11-14;2024-11-14 13:53:53.809912+00:00;2024-11-18;1243.0498046875
110;hybas_1121905290;2024-11-14;2024-11-14 13:53:53.809912+00:00;2024-11-19;1183.0133056640625
111;hybas_1121905290;2024-11-14;2024-11-14 13:53:53.809912+00:00;2024-11-20;1128.504638671875
112;hybas_1121905290;2024-11-15;2024-11-15 13:42:41.364724+00:00;2024-11-14;1441.6640625
113;hybas_1121905290;2024-11-15;2024-11-15 13:42:41.364724+00:00;2024-11-15;1390.544921875
114;hybas_1121905290;2024-11-15;2024-11-15 13:42:41.364724+00:00;2024-11-16;1341.31884765625
115;hybas_1121905290;2024-11-15;2024-11-15 13:42:41.364724+00:00;2024-11-17;1291.0589599609375
