,Observation,Start Date,End Date,StationName
188,1,1994-08-29 12:00:00,1994-11-16 12:00:00,Bougouni
189,1,1995-09-02 12:00:00,1995-09-11 12:00:00,Bougouni
190,1,1995-09-19 12:00:00,1995-10-24 12:00:00,Bougouni
191,1,1996-09-06 12:00:00,1996-10-05 12:00:00,Bougouni
192,1,1997-08-26 12:00:00,1997-09-29 12:00:00,Bougouni
193,1,1998-08-15 12:00:00,1998-09-29 12:00:00,Bougouni
194,1,1998-10-02 12:00:00,1998-10-12 12:00:00,Bougouni
195,1,1998-10-16 12:00:00,1998-10-24 12:00:00,Bougouni
196,1,2000-08-21 12:00:00,2000-09-06 12:00:00,Bougouni
197,1,2000-09-09 12:00:00,2000-09-24 12:00:00,Bougouni
198,1,2000-10-02 12:00:00,2000-10-08 12:00:00,Bougouni
199,1,2001-08-24 12:00:00,2001-09-19 12:00:00,Bougouni
200,1,2001-09-24 12:00:00,2001-10-13 12:00:00,Bougouni
201,1,2003-08-31 12:00:00,2003-09-09 12:00:00,Bougouni
202,1,2003-09-17 12:00:00,2003-10-20 12:00:00,Bougouni
203,1,2006-08-31 12:00:00,2006-09-07 12:00:00,Bougouni
204,1,2006-09-09 12:00:00,2006-10-04 12:00:00,Bougouni
205,1,2006-10-13 12:00:00,2006-10-21 12:00:00,Bougouni
206,1,2007-08-11 12:00:00,2007-10-17 12:00:00,Bougouni
207,1,2008-08-19 12:00:00,2008-09-03 12:00:00,Bougouni
208,1,2008-09-12 12:00:00,2008-10-24 12:00:00,Bougouni
209,1,2009-08-24 12:00:00,2009-10-14 12:00:00,Bougouni
210,1,2010-09-09 12:00:00,2010-10-24 12:00:00,Bougouni
211,1,2012-08-30 12:00:00,2012-11-03 12:00:00,Bougouni
212,1,2013-08-19 12:00:00,2013-09-23 12:00:00,Bougouni
213,1,2013-09-27 12:00:00,2013-10-20 12:00:00,Bougouni
214,1,2014-09-03 12:00:00,2014-09-05 12:00:00,Bougouni
215,1,2014-09-23 12:00:00,2014-09-28 12:00:00,Bougouni
216,1,2014-10-02 12:00:00,2014-10-07 12:00:00,Bougouni
217,1,2015-08-30 12:00:00,2015-09-20 12:00:00,Bougouni
218,1,2015-09-26 12:00:00,2015-10-09 12:00:00,Bougouni
219,1,2016-07-28 12:00:00,2016-10-11 12:00:00,Bougouni
220,1,2017-08-26 12:00:00,2017-09-11 12:00:00,Bougouni
221,1,2018-07-28 12:00:00,2018-08-13 12:00:00,Bougouni
222,1,2018-08-17 12:00:00,2018-08-18 12:00:00,Bougouni
223,1,2018-08-24 12:00:00,2018-10-25 12:00:00,Bougouni
224,1,1980-09-01 12:00:00,1980-09-28 12:00:00,Pankourou
225,1,1981-08-04 12:00:00,1981-10-07 12:00:00,Pankourou
226,1,1988-08-27 12:00:00,1988-10-09 12:00:00,Pankourou
227,1,1989-09-01 12:00:00,1989-09-27 12:00:00,Pankourou
228,1,1991-08-28 12:00:00,1991-09-16 12:00:00,Pankourou
229,1,1994-08-17 12:00:00,1994-09-03 12:00:00,Pankourou
230,1,1994-09-06 12:00:00,1994-11-19 12:00:00,Pankourou
231,1,1995-08-31 12:00:00,1995-09-28 12:00:00,Pankourou
232,1,1995-10-02 12:00:00,1995-10-04 12:00:00,Pankourou
233,1,1996-09-10 12:00:00,1996-10-04 12:00:00,Pankourou
234,1,1997-09-05 12:00:00,1997-09-07 12:00:00,Pankourou
235,1,1998-08-13 12:00:00,1998-09-19 12:00:00,Pankourou
236,1,1998-09-22 12:00:00,1998-10-24 12:00:00,Pankourou
237,1,1999-08-07 12:00:00,1999-10-04 12:00:00,Pankourou
238,1,1999-10-07 12:00:00,1999-10-17 12:00:00,Pankourou
239,1,1999-10-20 12:00:00,1999-11-01 12:00:00,Pankourou
