,Observation,Start Date,End Date,StationName
107,1,1980-09-13 12:00:00,1980-10-19 12:00:00,Mopti
108,1,1981-08-30 12:00:00,1981-11-05 12:00:00,Mopti
109,1,1985-09-28 12:00:00,1985-10-21 12:00:00,Mopti
110,1,1988-09-17 12:00:00,1988-10-14 12:00:00,Mopti
111,1,1994-09-05 12:00:00,1994-12-10 12:00:00,Mopti
112,1,1995-09-08 12:00:00,1995-11-12 12:00:00,Mopti
113,1,1996-09-22 12:00:00,1996-11-05 12:00:00,Mopti
114,1,1997-09-19 12:00:00,1997-10-25 12:00:00,Mopti
115,1,1998-09-07 12:00:00,1998-11-17 12:00:00,Mopti
116,1,1999-08-30 12:00:00,1999-11-29 12:00:00,Mopti
117,1,2000-09-14 12:00:00,2000-11-18 12:00:00,Mopti
118,1,2001-09-05 12:00:00,2001-11-04 12:00:00,Mopti
119,1,2003-08-29 12:00:00,2003-11-17 12:00:00,Mopti
120,1,2004-10-07 12:00:00,2004-10-18 12:00:00,Mopti
121,1,2005-09-14 12:00:00,2005-09-22 12:00:00,Mopti
122,1,2005-10-06 12:00:00,2005-10-30 12:00:00,Mopti
123,1,2006-09-15 12:00:00,2006-11-14 12:00:00,Mopti
124,1,2007-08-31 12:00:00,2007-11-15 12:00:00,Mopti
125,1,2008-08-27 12:00:00,2008-11-16 12:00:00,Mopti
126,1,2009-09-09 12:00:00,2009-11-19 12:00:00,Mopti
127,1,2010-09-07 12:00:00,2010-11-30 12:00:00,Mopti
128,1,2010-12-02 12:00:00,2010-12-05 12:00:00,Mopti
129,1,2012-08-28 12:00:00,2012-12-02 12:00:00,Mopti
130,1,2013-09-01 12:00:00,2013-11-07 12:00:00,Mopti
131,1,2014-09-17 12:00:00,2014-10-31 12:00:00,Mopti
132,1,2015-09-12 12:00:00,2015-11-22 12:00:00,Mopti
133,1,2016-08-19 12:00:00,2016-11-13 12:00:00,Mopti
134,1,2018-08-26 12:00:00,2018-11-27 12:00:00,Mopti
135,1,1980-01-01 12:00:00,1980-02-08 12:00:00,Ansongo
136,1,1980-11-14 12:00:00,1981-01-02 12:00:00,Ansongo
137,1,1981-10-26 12:00:00,1982-01-23 12:00:00,Ansongo
138,1,1994-10-30 12:00:00,1995-02-24 12:00:00,Ansongo
139,1,1995-11-25 12:00:00,1995-11-29 12:00:00,Ansongo
140,1,1996-01-01 12:00:00,1996-01-30 12:00:00,Ansongo
141,1,1996-11-21 12:00:00,1997-01-16 12:00:00,Ansongo
142,1,1997-11-20 12:00:00,1998-01-03 12:00:00,Ansongo
143,1,1998-11-03 12:00:00,1998-11-29 12:00:00,Ansongo
144,1,1999-01-02 12:00:00,1999-02-01 12:00:00,Ansongo
145,1,1999-10-27 12:00:00,2000-01-25 12:00:00,Ansongo
146,1,2000-02-02 12:00:00,2000-02-20 12:00:00,Ansongo
147,1,2000-11-12 12:00:00,2001-01-30 12:00:00,Ansongo
148,1,2001-11-10 12:00:00,2002-01-21 12:00:00,Ansongo
149,1,2003-10-24 12:00:00,2004-02-05 12:00:00,Ansongo
150,1,2005-11-21 12:00:00,2006-01-07 12:00:00,Ansongo
151,1,2006-11-15 12:00:00,2007-01-21 12:00:00,Ansongo
