;flood_start;flood_end;Région;Cercle;Commune;Quartier/Villages
409;2010-10-04;2010-10-05;SEGOU;;;
410;2010-10-04;2010-10-05;SIKASSO;;;
411;2010-10-04;2010-10-05;MOPTI;;;
412;2010-10-04;2010-10-05;TOMBOUCTOU;;;
413;2010-10-04;2010-10-05;GAO;;;
414;2010-10-04;2010-10-05;KIDAL;;;
415;2010-10-04;2010-10-05;BAMAKO;;;
570;2009-09-07;2009-09-08;;;;
611;2009-08-15;2009-08-15;;;MASSALA;
628;2009-05-01;2009-05-15;KAYES;;;
629;2009-05-01;2009-05-15;BAMAKO;;;
630;2009-05-01;2009-05-15;KOULIKORO;;;
631;2009-05-01;2009-05-15;SIKASSO;;;
632;2009-05-01;2009-05-15;SEGOU;;;
633;2009-05-01;2009-05-15;MOPTI;;;
634;2009-05-01;2009-05-15;TOMBOUCTOU;;;
635;2009-05-01;2009-05-15;GAO;;;
636;2009-04-01;2009-04-15;KAYES;;;
637;2009-04-01;2009-04-15;BAMAKO;;;
638;2009-04-01;2009-04-15;KOULIKORO;;;
639;2009-04-01;2009-04-15;SIKASSO;;;
640;2009-04-01;2009-04-15;SEGOU;;;
641;2009-04-01;2009-04-15;MOPTI;;;
642;2009-04-01;2009-04-15;TOMBOUCTOU;;;
643;2009-04-01;2009-04-15;GAO;;;
692;2007-07-04;2007-07-18;SEGOU;;;
693;2007-07-04;2007-07-18;KAYES;;;
694;2007-07-04;2007-07-18;SIKASSO;;;
695;2007-07-04;2007-07-18;KOULIKORO;;;
696;2007-07-04;2007-07-18;GAO;;;
703;2007-06-03;2007-06-17;SEGOU;;;
704;2007-06-03;2007-06-17;KAYES;;;
705;2007-06-03;2007-06-17;SIKASSO;;;
706;2007-06-03;2007-06-17;KOULIKORO;;;
707;2007-06-03;2007-06-17;GAO;;;
708;2007-06-03;2007-06-17;MOPTI;;;
724;2006-08-03;2006-08-17;SIKASSO;;;
725;2006-08-03;2006-08-17;GAO;;;
741;2003-09-10;2003-09-11;;;;
745;2003-08-10;2003-08-24;TOMBOUCTOU;;;
746;2003-08-10;2003-08-24;GAO;;;
747;2003-08-10;2003-08-24;MOPTI;;;
748;2003-08-10;2003-08-24;SEGOU;;;
749;2003-08-10;2003-08-24;KOULIKORO;;;
756;2002-07-26;2002-07-27;TOMBOUCTOU;;;Goundam, Tombouctou , Gao, Bamako 
757;2002-07-26;2002-07-27;GAO;;;Goundam, Tombouctou , Gao, Bamako 
758;2002-07-26;2002-07-27;BAMAKO;;;Goundam, Tombouctou , Gao, Bamako 
759;2002-07-25;2002-07-27;TOMBOUCTOU;;;Goundam, Tombouctou , Gao, Bamako 
760;2002-07-25;2002-07-27;GAO;;;Goundam, Tombouctou , Gao, Bamako 
761;2002-07-25;2002-07-27;BAMAKO;;;Goundam, Tombouctou , Gao, Bamako 
762;2001-09-17;2001-09-18;;;;
763;2001-08-18;2001-09-01;SIKASSO;;;
764;2001-08-18;2001-09-01;KIDAL;;;
765;2001-08-18;2001-09-01;MOPTI;;;
766;2001-08-18;2001-09-01;KOULIKORO;;;
767;2001-08-18;2001-09-01;BAMAKO;;;
768;2001-08-18;2001-09-01;SEGOU;;;
824;1998-09-01;1998-09-15;KOULIKORO;;;Koulikoro, Kayes
825;1998-09-01;1998-09-15;KAYES;;;Koulikoro, Kayes
843;1989-08-01;1989-08-15;;;;
844;1988-08-01;1988-08-15;BAMAKO;;;
845;1988-08-01;1988-08-15;SEGOU;;;
846;1988-08-01;1988-08-15;KOULIKOROU;;;
