,flood_start,flood_end,Pays,Région,Cercle,Commune,Quartier/Villages
45,2022-07-29,2022-07-30,Mali,SEGOU,SEGOU,SEGOU COMMUNE,Kolotomo
46,2022-07-20,2022-07-21,Mali,SEGOU,SEGOU,SEGOU COMMUNE,Kolodougou coura
47,2022-07-17,2022-07-18,Mali,KOULIKORO,DIOILA,KALADOUGOU,Nématoulaye
48,2022-07-10,2022-07-11,Mali,TOMBOUCTOU,NIAFUNKE,SOUMPI,"Toubel, Dofana, Enekar, Edouareck, Edouareck-Kountou, "
49,2022-07-10,2022-07-11,Mali,TOMBOUCTOU,TOMBOUCTOU,LAFIA,Sourgou sarey
50,2022-07-10,2022-07-11,Mali,TOMBOUCTOU,TOMBOUCTOU,BER,"Ber, Tererdjé,Terist, Tinafewa, Nibkit Keidim, Taoutilt, Er-Intedjeft, Tadoumoumt, Zarho"
51,2022-06-29,2022-06-30,Mali,KOULIKORO,DIOILA,KALADOUGOU,Kola
52,2022-06-29,2022-06-30,Mali,KOULIKORO,NARA,NARA,Medina coura
53,2022-06-27,2022-06-28,Mali,MOPTI,MOPTI,SOCOURA,Sarema
54,2022-06-20,2022-06-21,Mali,KOULIKORO,NARA,KORONGA,Zidou
55,2022-06-20,2022-06-21,Mali,KAYES,KAYES,KAYES COMMUNE,Sangafara 
56,2022-06-17,2022-06-18,Mali,KOULIKORO,KATI,KALABANCORO,Kabala Extention
57,2022-06-17,2022-06-18,Mali,BAMAKO,BAMAKO,COMMUNE I,Fombabougou
58,2022-06-17,2022-06-18,Mali,KOULIKORO,DIOILA,KALADOUGOU,Tiendobougou
59,2022-06-06,2022-06-07,Mali,MOPTI,MOPTI,MOPTI COMMUNE,Lycéé Hamadou
60,2022-05-01,2022-05-02,Mali,KIDAL,KIDAL,KIDAL,Ville
61,2020-08-12,2020-08-13,Mali,GAO,,,
62,2020-08-12,2020-08-13,Mali,MOPTI,,,
63,2020-08-12,2020-08-13,Mali,SEGOU AND SIKASSO,,,
64,2019-08-24,2019-09-07,Mali,KIDAL,,,
65,2019-08-24,2019-09-07,Mali,KOULIKORO,,,
66,2019-08-24,2019-09-07,Mali,TOMBOUCTOU,,,
67,2019-08-24,2019-09-07,Mali,MÉNAKA,,,
68,2019-08-24,2019-09-07,Mali,MOPTI,,,
69,2019-08-24,2019-09-07,Mali,MOPTI ET MÉNAKA,,,
70,2019-08-07,2019-08-07,,KAYES,GOUMÉRA,,
71,2019-08-07,2019-08-07,,KIDAL,ESSOUK,,
72,2019-08-07,2019-08-07,,KIDAL,INTACHDAYTE,,
73,2019-08-07,2019-08-07,,KIDAL,TESSALIT,,
74,2019-08-07,2019-08-07,,KIDAL,AGUELHOK,,
75,2019-08-07,2019-08-07,,GAO,TAMKOUTAT,,
76,2019-08-07,2019-08-07,,GAO,BOUREM,,
77,2019-08-07,2019-08-07,,GAO,GAO,,
78,2019-08-07,2019-08-07,,KAYES,KITA,,
79,2019-08-07,2019-08-07,,TOMBOUCTOU,NIAFUNKÉ + MORE LOCATIONS,,
80,2019-08-07,2019-08-07,,TOMBOUCTOU,TOMBOUCTOU,,
81,2019-08-07,2019-08-07,,SIKASSO,ZEGOUA,,
82,2019-08-07,2019-08-07,,SIKASSO,SONA,,
83,2019-08-07,2019-08-07,,SIKASSO,KOURY,,
84,2019-08-07,2019-08-07,,SIKASSO,KOUTIALA,,
85,2019-08-07,2019-08-07,,SIKASSO,BIRAMABOUGOU,,
86,2019-08-07,2019-08-07,,SIKASSO,SIKASSO,,
87,2019-08-07,2019-08-07,,KOULIKORO,SANDIA,,
88,2019-08-07,2019-08-07,,KOULIKORO,TOUBAKORO,,
89,2019-08-07,2019-08-07,,KOULIKORO,KÉNÈKOUN,,
90,2019-08-07,2019-08-07,,KOULIKORO,KOLOKANI,,
91,2019-08-07,2019-08-07,,KAYES,KAYES,,
92,2019-08-07,2019-08-07,,TOMBOUCTOU,DIRÉ,,
93,2019-08-07,2019-08-07,,GAO,ANSONGO,,
94,2019-07-23,2019-08-06,Mali,KIDAL,,,
95,2019-07-23,2019-08-06,Mali,KOULIKORO,,,
96,2019-07-23,2019-08-06,Mali,TOMBOUCTOU,,,
97,2019-07-23,2019-08-06,Mali,MÉNAKA,,,
98,2019-07-23,2019-08-06,Mali,MOPTI,,,
99,2019-07-23,2019-08-06,Mali,MOPTI ET MÉNAKA,,,
100,2019-05-16,2019-05-17,Mali,BAMAKO,BAMAKO,,
101,2018-10-12,2018-10-12,,,,KOUORO,
102,2018-10-05,2018-10-05,,,,KOUORO,
103,2018-09-19,2018-09-19,,BAMAKO,BAMAKO,,
104,2018-09-19,2018-09-19,,KAYES,,,
105,2018-09-19,2018-09-19,,KOULIKORO,,,
106,2018-09-19,2018-09-19,,KIDAL,KIDAL,,
107,2018-09-19,2018-09-19,,GAO,,,
108,2018-09-19,2018-09-19,,SIKASSO,,,
109,2018-09-19,2018-09-19,,SÉGOU,,,
110,2018-09-19,2018-09-19,,MOPTI,,,
111,2018-09-19,2018-09-19,,TOMBOUCTOU,,,
112,2018-09-19,2018-09-19,,,MÉNAKA,,
113,2018-09-18,2018-09-18,,,,FALLOU,
114,2018-08-31,2018-08-31,,GAO,GAO,,
115,2018-08-18,2018-08-18,,,DIRÉ,,
116,2018-08-07,2018-08-19,Mali,KAYES,,,"Kayes ville, Goumera, Kita ville, Kolokani ville, Kenekoun, Toubakoro, Sandia, Sikasso ville, Biramabougou, Koutiala, Koury, Sona, Zegoua, Tombouctou, Diré, Niafunké, Gao, Bourem Ansongo, Aguelhok, Tessalit, Intachdayte, Essouk"
117,2018-08-07,2018-08-19,Mali,KOULIKORO,,,"Kayes ville, Goumera, Kita ville, Kolokani ville, Kenekoun, Toubakoro, Sandia, Sikasso ville, Biramabougou, Koutiala, Koury, Sona, Zegoua, Tombouctou, Diré, Niafunké, Gao, Bourem Ansongo, Aguelhok, Tessalit, Intachdayte, Essouk"
118,2018-08-07,2018-08-19,Mali,SIKASSO,,,"Kayes ville, Goumera, Kita ville, Kolokani ville, Kenekoun, Toubakoro, Sandia, Sikasso ville, Biramabougou, Koutiala, Koury, Sona, Zegoua, Tombouctou, Diré, Niafunké, Gao, Bourem Ansongo, Aguelhok, Tessalit, Intachdayte, Essouk"
119,2018-08-07,2018-08-19,Mali,TOMBOUCTOU,,,"Kayes ville, Goumera, Kita ville, Kolokani ville, Kenekoun, Toubakoro, Sandia, Sikasso ville, Biramabougou, Koutiala, Koury, Sona, Zegoua, Tombouctou, Diré, Niafunké, Gao, Bourem Ansongo, Aguelhok, Tessalit, Intachdayte, Essouk"
120,2018-08-07,2018-08-19,Mali,GAO ET KIDAL,,,"Kayes ville, Goumera, Kita ville, Kolokani ville, Kenekoun, Toubakoro, Sandia, Sikasso ville, Biramabougou, Koutiala, Koury, Sona, Zegoua, Tombouctou, Diré, Niafunké, Gao, Bourem Ansongo, Aguelhok, Tessalit, Intachdayte, Essouk"
121,2017-11-30,2017-11-30,,SIKASSO,SIKASSO,,
122,2017-11-30,2017-11-30,,BAMAKO,BAMAKO,BAMAKO,
123,2017-11-30,2017-11-30,,GAO,GAO,,
124,2017-11-30,2017-11-30,,SÉGOU,SÉGOU,,
125,2017-11-30,2017-11-30,,KOULIKORO,,,
126,2017-11-08,2017-11-09,Mali,SEGOU,BLA,DIARAMANA,Farakala
127,2017-11-08,2017-11-09,Mali,SEGOU,BLA,SOMASSO,N'Petiona
128,2017-11-02,2017-11-03,Mali,SIKASSO,SIKASSO,DOGONI,Nagna
129,2017-11-02,2017-11-02,,SIKASSO,,,
130,2017-10-07,2017-10-08,Mali,BAMAKO,BAMAKO,BAMAKO,Bamako
131,2017-09-08,2017-09-09,Mali,MOPTI,MOPTI,SÉVARÉ,Sévaré secteur III
132,2017-09-08,2017-09-09,Mali,MOPTI,MOPTI,FATOMA,
133,,,,,,,
134,2017-09-08,2017-09-08,,MOPTI,MOPTI,SÉVARÉ SECTEUR III,
135,2017-08-27,2017-08-28,Mali,SEGOU,TOMINIAN,MADIAKUY,Kominalo
136,2017-08-24,2017-08-24,,BAMAKO,BAMAKO,,
137,2017-08-24,2017-08-24,,BLA ,BLA ,,
138,2017-08-24,2017-08-24,,,,SOMASSO,
139,2017-08-24,2017-08-24,,,,KONOBOUGOU,
140,2017-08-23,2017-09-06,Mali,SEGOU,,,
141,2017-08-21,2017-08-22,Mali,KAYES,YELIMANE,KREMISS,Kremiss
142,2017-08-21,2017-08-22,Mali,KAYES,YELIMANE,LOGO,Kakoulou
143,2017-08-21,2017-08-22,Mali,SEGOU,SEGOU,SAMA FOULALA,Diado-Wéré
144,2017-08-21,2017-08-21,,KAYES,YÉLIMANÉ,,
145,2017-08-15,2017-08-15,,,,KONOBOUGOU,
146,2017-08-14,2017-08-15,Mali,KOULIKORO,DIOILA,MARKACOUNGO,Gouana
147,2017-08-12,2017-08-12,,SÉGOU,SÉGOU, KONOBOUGOU,
148,2017-08-11,2017-08-12,Mali,SEGOU,SEGOU,KONOBOUGOU,"Konobougou, Gnoukoula et Dioni-Pissa"
149,2017-08-11,2017-08-11,,,,SOMASSO,
150,2017-08-09,2017-08-10,Mali,SEGOU,SEGOU,PLENGANA,Dougadougou
151,2017-08-09,2017-08-09,,SÉGOU,SÉGOU, PLENGANA NORD,
152,2017-08-08,2017-08-09,Mali,SEGOU,NIONO,POGO,Tinzana
153,2017-07-24,2017-07-25,Mali,SIKASSO,SIKASSO,NIENA,Tiola Niena
154,2017-07-24,2017-07-25,Mali,SIKASSO,BOUGOUNI,TIENFALA,Tienfala
155,2017-07-24,2017-07-24,,SIKASSO,,,
156,2017-07-23,2017-08-06,Mali,SEGOU,,,
157,2017-07-21,2017-07-21,,SÉGOU,,,
158,2017-07-20,2017-07-21,Mali,MOPTI,KORO,DINANGOUROU,Douari
159,2017-07-18,2017-07-18,,BAMAKO,BAMAKO,BAMAKO,
160,2017-07-08,2017-07-08,,,,FALLOU,
161,2017-07-07,2017-07-08,Mali,KOULIKORO,NARA,FALOU,Falou
162,2017-06-22,2017-06-23,Mali,KAYES,YELIMANE,KEMENÉ TAMBO,Kemené Tambo
163,2017-06-22,2017-06-23,Mali,KAYES,KAYES,KOUSSANE,Moussala
164,2017-06-22,2017-06-22,,KAYES,YÉLIMANÉ,,
165,2017-06-22,2017-06-22,,,,NIAMBIA,
166,2017-06-20,2017-06-21,Mali,TOMBOUCTOU,,,Er-Intedjefti-I
167,2017-06-20,2017-06-21,Mali,TOMBOUCTOU,DOUENTZA,HOMBORI,Hombori
168,2017-06-18,2017-06-19,Mali,KAYES,NIORO,GUOGUI,Guogui
169,2017-06-17,2017-06-18,Mali,TOMBOUCTOU,NIANFUNKÉ,,Doulabougou
170,2017-06-17,2017-06-18,Mali,TOMBOUCTOU,,,Echelle
171,2017-05-27,2017-05-28,Mali,SEGOU,SAN,BLA,Bla
172,2017-05-14,2017-05-15,Mali,KOULIKORO,DIOLA,ZAN COULIBALY,Zantiguila
173,2017-05-14,2017-05-14,,KOULIKORO,DIOILA,,
174,2017-03-09,2017-03-10,Mali,KOULIKORO,NARA,NIAMANA,Gallo
175,2017-01-09,2017-01-10,Mali,SEGOU,SEGOU,KONODIMINI,Ouentebougou
176,2017-01-01,2017-01-15,Mali,KAYES,,,
177,2017-01-01,2017-01-15,Mali,KOULIKORO,,,
178,2017-01-01,2017-01-15,Mali,SIKASSO,,,
179,2017-01-01,2017-01-15,Mali,SEGOU,,,
180,2017-01-01,2017-01-15,Mali,MOPTI,,,
181,2017-01-01,2017-01-15,Mali,TOMBOUCTOU,,,
182,2017-01-01,2017-01-15,Mali,GAO,,,
183,2017-01-01,2017-01-15,Mali,KIDAL,,,
184,2017-01-01,2017-01-15,Mali,BAMAKO,,,
185,2016-11-12,2016-11-12,,MOPTI,MOPTI,,
186,2016-08-10,2016-08-10,,,,KONNA,
187,2016-08-04,2016-08-04,,KOULIKORO,KOULIKORO,,
188,2016-08-04,2016-08-04,,BAMAKO,BAMAKO,,
189,2016-08-02,2016-08-02,,SIKASSO,SIKASSO,,
190,2016-08-02,2016-08-02,,GAO,GAO,,
191,2016-08-02,2016-08-02,,KOULIKORO,KOULIKORO,,
192,2016-08-01,2016-08-01,,BAMAKO,BAMAKO,,
193,2016-08-01,2016-08-01,,TOMBOUCTOU,TOMBOUCTOU,,
194,2016-08-01,2016-08-01,,,MÉNAKA,,
195,2016-08-01,2016-08-01,,KOULIKORO,KOULIKORO,,
196,2016-08-01,2016-08-01,,GAO,GAO,,
197,2016-08-01,2016-08-01,,MOPTI,MOPTI,,
198,2016-08-01,2016-08-01,,KIDAL,KIDAL,,
199,2016-08-01,2016-08-01,,SÉGOU,SÉGOU,,
200,2016-08-01,2016-08-01,,SIKASSO,SIKASSO,,
201,2016-07-28,2016-07-28,,SIKASSO,SIKASSO,,
202,2016-07-27,2016-07-27,,KOULIKORO,KOULIKORO,,
203,2016-07-20,2016-07-20,,,,FALO,
204,2016-07-18,2016-07-18,,,DOUENTZA,DOUENTZA,
205,2016-07-11,2016-07-23,Mali,GAO,,,
206,2016-07-11,2016-07-23,Mali,MOPTI,,,
207,2016-07-11,2016-07-23,Mali,SEGOU,,,
208,2016-07-11,2016-07-23,Mali,SIKASSO,,,
209,2016-07-11,2016-07-23,Mali,BAMAKO,,,
210,2016-07-11,2016-07-23,Mali,KOULIKORO,,,
211,2016-07-10,2016-07-23,Mali,GAO,,,
212,2016-07-10,2016-07-23,Mali,MOPTI,,,
213,2016-07-10,2016-07-23,Mali,SEGOU,,,
214,2016-07-10,2016-07-23,Mali,SIKASSO,,,
215,2016-07-10,2016-07-23,Mali,BAMAKO,,,
216,2016-07-10,2016-07-23,Mali,KOULIKORO,,,
217,2016-07-09,2016-07-23,Mali,GAO,,,
218,2016-07-09,2016-07-23,Mali,MOPTI,,,
219,2016-07-09,2016-07-23,Mali,SEGOU,,,
220,2016-07-09,2016-07-23,Mali,SIKASSO,,,
221,2016-07-09,2016-07-23,Mali,BAMAKO,,,
222,2016-07-09,2016-07-23,Mali,KOULIKORO,,,
223,2015-09-03,2015-09-03,,GAO,GAO,,
224,2015-09-02,2015-09-02,,,,,
225,2015-08-10,2015-08-10,,,,,
226,2015-08-08,2015-08-09,Mali,MENAKA DISTRICT (GAO PROVINCE),,,
227,2015-08-07,2015-08-09,Mali,MENAKA DISTRICT (GAO PROVINCE),,,
228,2015-07-31,2015-07-31,,,MACINA,MACINA,
229,2014-11-16,2014-11-16,,SIKASSO,YOROSSO,YOROSSO,
230,2014-10-13,2014-10-13,,DISTRICT BAMAKO ,,,
231,2014-08-23,2014-08-23,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
232,2014-08-15,2014-08-15,,KAYES,KAYES,,
233,2014-08-06,2014-08-06,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
234,2014-08-04,2014-08-04,,SIKASSO,KOUTIALA,M'PESSOBA,
235,2014-07-22,2014-07-22,,MOPTI,MOPTI,SIO,
236,2014-07-03,2014-07-03,,SIKASSO,KOUTIALA,N'GOUTJIN,
237,2014-06-22,2014-06-22,,KOULIKORO,BANAMBA,BANAMBA,
238,2014-06-10,2014-06-10,,SEGOU,SEGOU,SEBOUGOU,
239,2014-06-05,2014-06-05,,BAMAKO,BAMAKO,,
240,2014-06-02,2014-06-02,,KAYES,KITA,KITA-COMM,
241,2014-06-02,2014-06-02,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
242,2013-09-26,2013-09-26,,MOPTI,BANDIAGAR,BANDIAGAR,
243,2013-09-15,2013-09-15,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
244,2013-09-14,2013-09-14,,MOPTI,DOUENTZA,DJAPTODJI,
245,2013-09-13,2013-09-13,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
246,2013-09-09,2013-09-09,,KAYES,KAYES,KAYES,
247,2013-09-08,2013-09-08,,BAMAKO,BAMAKO,,
248,2013-09-07,2013-09-07,,SEGOU,SAN,DJEGUENA,
249,2013-09-06,2013-09-06,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
250,2013-09-05,2013-09-05,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
251,2013-09-04,2013-09-04,,SEGOU,NIONO,DOGOFRY,
252,2013-09-03,2013-09-03,,KOULIKORO,KATI,DIALAKORO,
253,2013-09-03,2013-09-03,,SEGOU,NIONO,DOGOFRY,
254,2013-08-31,2013-08-31,,BAMAKO,BAMAKO,,
255,2013-08-29,2013-08-30,Mali,BAMAKO,BAMAKO,,
256,2013-08-28,2013-08-28,,KOULIKORO,KATI,KATI-COMM,
257,2013-08-26,2013-08-26,,MOPTI,BANDIAGAR,BANDIAGAR,
258,2013-08-21,2013-08-21,,SEGOU,SEGOU,KONODIMIN,
259,2013-08-14,2013-08-14,,SIKASSO,YANFOLILA,WASSOULOU,
260,2013-08-13,2013-08-13,,KAYES,KITA,SEBEKORO,
261,2013-08-13,2013-08-13,,KAYES,YELIMANE,KREMIS,
262,2013-08-11,2013-08-11,,SEGOU,NIONO,,
263,2013-08-09,2013-08-10,Mali,SEGOU,NIONO,,"Diabaly, Aguelhok, Tessalit "
264,2013-08-09,2013-08-10,Mali,KIDAL,NIONO,,"Diabaly, Aguelhok, Tessalit "
265,2013-08-09,2013-08-10,Mali,SEGOU,AGUELHOK,,"Diabaly, Aguelhok, Tessalit "
266,2013-08-09,2013-08-10,Mali,KIDAL,AGUELHOK,,"Diabaly, Aguelhok, Tessalit "
267,2013-08-09,2013-08-10,Mali,SEGOU,TESSALIT,,"Diabaly, Aguelhok, Tessalit "
268,2013-08-09,2013-08-10,Mali,KIDAL,TESSALIT,,"Diabaly, Aguelhok, Tessalit "
269,2013-08-07,2013-08-07,,SEGOU,SAN,SAN-COMMU,
270,2013-06-28,2013-06-28,,KAYES,KAYES,BANGASSI,
271,2013-06-28,2013-06-28,,KAYES,KAYES,HAWA-DEMB,
272,2013-06-28,2013-06-28,,KAYES,KAYES,LOGO,
273,2013-05-17,2013-05-17,,KAYES,BAFOULABE,KOUNDIAN,
274,2012-10-06,2012-10-06,,SIKASSO,KOUTIALA,KOUTIALA-,
275,2012-09-24,2012-09-24,,KAYES,BAFOULABE,MAHINA,
276,2012-09-24,2012-09-24,,KAYES,BAFOULABE,NIAMBIA,
277,2012-09-14,2012-09-14,,SIKASSO,BOUGOUNI,GARALO,
278,2012-09-08,2012-09-08,,SIKASSO,KOUTIALA,KOUTIALA-,
279,2012-09-08,2012-09-08,,SEGOU,SAN,WAKI,
280,2012-09-05,2012-09-05,,SIKASSO,KOUTIALA,ZANINA,
281,2012-09-03,2012-09-03,,SEGOU,BARAOUELI,BOIDIE,
282,2012-09-03,2012-09-03,,KOULIKORO,KOULIKORO,KOULIKORO,
283,2012-09-03,2012-09-03,,SEGOU,NIONO,MARIKO,
284,2012-09-03,2012-09-03,,SEGOU,NIONO,NIONO,
285,2012-09-03,2012-09-03,,SEGOU,NIONO,DIABALY,
286,2012-09-03,2012-09-03,,SEGOU,NIONO,SIRIFILA-,
287,2012-09-01,2012-09-01,,SIKASSO,KOUTIALA,KOUTIALA-,
288,2012-09-01,2012-09-01,,SIKASSO,YOROSSO,KOUMBIA,
289,2012-08-30,2012-08-30,,MOPTI,DOUENTZA,MONDORO,
290,2012-08-30,2012-08-30,,SIKASSO,YOROSSO,KOURY,
291,2012-08-30,2012-08-30,,KAYES,BAFOULABE,MAHINA,
292,2012-08-30,2012-08-30,,KAYES,NIORO,SANDARE,
293,2012-08-30,2012-08-30,,KAYES,BAFOULABE,BAFOULABE,
294,2012-08-28,2012-08-28,,KAYES,YELIMANE,KREMIS,
295,2012-08-27,2012-08-27,,SEGOU,SAN,DIELI,
296,2012-08-27,2012-08-27,,SEGOU,SAN,TENE,
297,2012-08-27,2012-08-27,,SEGOU,SAN,KASSOROLA,
298,2012-08-27,2012-08-27,,SEGOU,SAN,WAKI,
299,2012-08-27,2012-08-27,,MOPTI,MOPTI,BASSIROU,
300,2012-08-26,2012-08-26,,KAYES,BAFOULABE,KOUNDIAN,
301,2012-08-25,2012-08-25,,KAYES,YELIMANE,SOUMPOU,
302,2012-08-24,2012-08-24,,SIKASSO,KOUTIALA,ZANFIGUE,
303,2012-08-24,2012-08-24,,SEGOU,SEGOU,MASSALA,
304,2012-08-24,2012-08-24,,SIKASSO,YANFOLILA,TAGANDOUG,
305,2012-08-24,2012-08-24,,KAYES,BAFOULABE,KONTELA,
306,2012-08-24,2012-08-24,,KAYES,KITA,BOUDOFO,
307,2012-08-24,2012-08-24,,SEGOU,SEGOU,MARKALA,
308,2012-08-24,2012-08-24,,SEGOU,SEGOU,CINZANA,
309,2012-08-24,2012-08-24,,SIKASSO,KOLONDIEB,KADIANA,
310,2012-08-24,2012-08-24,,KAYES,YELIMANE,TRINGA,
311,2012-08-24,2012-08-24,,SEGOU,BARAOUELI,GOUENDO,
312,2012-08-23,2012-09-06,Mali,SEGOU,,,
313,2012-08-23,2012-09-06,Mali,KOULIKORO,,,
314,2012-08-23,2012-09-06,Mali,SIKASSO,KOLONDIEB,,
315,2012-08-23,2012-09-06,Mali,KAYES MOPTI,,,
316,2012-08-23,2012-08-23,,MOPTI,KORO,BARAPIREL,
317,2012-08-23,2012-08-23,,SIKASSO,SIKASSO,LOBOUGOUL,
318,2012-08-22,2012-08-22,,MOPTI,MOPTI,MOPTI-COM,
319,2012-08-22,2012-08-22,,SIKASSO,SIKASSO,SIKASSO-C,
320,2012-08-22,2012-08-22,,SIKASSO,SIKASSO,FINKOLO,
321,2012-08-21,2012-08-21,,KAYES,KAYES,KAYES-COM,
322,2012-08-21,2012-08-21,,SIKASSO,KOUTIALA,,
323,2012-08-20,2012-08-20,,SIKASSO,KOUTIALA,KONINA,
324,2012-08-19,2012-08-19,,DISTRICT BAMAKO ,DISTRICT,DISTRICT,
325,2012-08-19,2012-08-19,,MOPTI,KORO,BONDO,
326,2012-08-19,2012-08-19,,SEGOU,BLA,KEMENI,
327,2012-08-19,2012-08-19,,SEGOU,BLA,DIENA,
328,2012-08-19,2012-08-19,,SEGOU,BLA,TIEMENA,
329,2012-08-19,2012-08-19,,SEGOU,BLA,YANGASSO,
330,2012-08-19,2012-08-19,,SEGOU,SEGOU,FATINE,
