,flood_start,flood_end,Cercle,duration
277,2012-09-14,2012-09-14,BOUGOUNI,1
278,2012-09-08,2012-09-08,KOUTIALA,1
279,2012-09-08,2012-09-08,SAN,1
280,2012-09-05,2012-09-05,KOUTIALA,1
281,2012-09-03,2012-09-03,BARAOUELI,1
282,2012-09-03,2012-09-03,KOULIKORO,1
283,2012-09-03,2012-09-03,NIONO,1
284,2012-09-03,2012-09-03,NIONO,1
285,2012-09-03,2012-09-03,NIONO,1
286,2012-09-03,2012-09-03,NIONO,1
287,2012-09-01,2012-09-01,KOUTIALA,1
288,2012-09-01,2012-09-01,YOROSSO,1
289,2012-08-30,2012-08-30,DOUENTZA,1
290,2012-08-30,2012-08-30,YOROSSO,1
291,2012-08-30,2012-08-30,BAFOULABE,1
292,2012-08-30,2012-08-30,NIORO,1
293,2012-08-30,2012-08-30,BAFOULABE,1
294,2012-08-28,2012-08-28,YELIMANE,1
295,2012-08-27,2012-08-27,SAN,1
296,2012-08-27,2012-08-27,SAN,1
297,2012-08-27,2012-08-27,SAN,1
298,2012-08-27,2012-08-27,SAN,1
299,2012-08-27,2012-08-27,MOPTI,1
300,2012-08-26,2012-08-26,BAFOULABE,1
301,2012-08-25,2012-08-25,YELIMANE,1
302,2012-08-24,2012-08-24,KOUTIALA,1
303,2012-08-24,2012-08-24,SEGOU,1
304,2012-08-24,2012-08-24,YANFOLILA,1
305,2012-08-24,2012-08-24,BAFOULABE,1
306,2012-08-24,2012-08-24,KITA,1
307,2012-08-24,2012-08-24,SEGOU,1
308,2012-08-24,2012-08-24,SEGOU,1
309,2012-08-24,2012-08-24,KOLONDIEB,1
310,2012-08-24,2012-08-24,YELIMANE,1
311,2012-08-24,2012-08-24,BARAOUELI,1
314,2012-08-23,2012-09-06,KOLONDIEB,15
316,2012-08-23,2012-08-23,KORO,1
317,2012-08-23,2012-08-23,SIKASSO,1
318,2012-08-22,2012-08-22,MOPTI,1
319,2012-08-22,2012-08-22,SIKASSO,1
320,2012-08-22,2012-08-22,SIKASSO,1
321,2012-08-21,2012-08-21,KAYES,1
322,2012-08-21,2012-08-21,KOUTIALA,1
323,2012-08-20,2012-08-20,KOUTIALA,1
324,2012-08-19,2012-08-19,DISTRICT,1
325,2012-08-19,2012-08-19,KORO,1
326,2012-08-19,2012-08-19,BLA,1
327,2012-08-19,2012-08-19,BLA,1
328,2012-08-19,2012-08-19,BLA,1
329,2012-08-19,2012-08-19,BLA,1
330,2012-08-19,2012-08-19,SEGOU,1
331,2012-08-19,2012-08-19,BLA,1
332,2012-08-19,2012-08-19,BLA,1
333,2012-08-15,2012-08-15,YOROSSO,1
334,2012-08-14,2012-08-14,YOROSSO,1
335,2012-08-14,2012-08-14,BARAOUELI,1
336,2012-08-14,2012-08-14,KAYES,1
337,2012-08-14,2012-08-14,BARAOUELI,1
338,2012-08-14,2012-08-14,KAYES,1
339,2012-08-14,2012-08-14,KOUTIALA,1
